Date,Tournament,Surface,Rd,,Score
16-Nov-1970,Wembley,Carpet,F,Rosie Casals / Billie Jean King [USA] d. Jones / Virginia Wade [GBR],6-3 7-5
12-Nov-1970,London,Carpet,F,Jones / Virginia Wade [GBR] d. Winnie Shaw / Joyce Williams [GBR],1-6 7-6 7-6
02-Nov-1970,Torquay,Carpet,F,Jones / Virginia Wade [GBR] d. Janice Townsend [GBR] / Sharon Walsh Pete [USA],6-3 6-4
27-Oct-1970,Port Talbot,Carpet,F,Jones / Virginia Wade [GBR] d. Francoise Durr [FRA] / Betty Stove [NED],6-4 6-3
20-Oct-1970,Manchester,Hard,F,Jones / Virginia Wade [GBR] d. Francoise Durr [FRA] / Betty Stove [NED],6-4 6-3
06-Jul-1970,Newport Wales,Grass,F,Rosie Casals [USA] / Judy Tegart [AUS] d. Jones / Patti Hogan [USA],6-3 6-2
15-Jun-1970,Eastbourne,Grass,F,Jones / Judy Tegart [AUS] d. Francoise Durr [FRA] / Virginia Wade [GBR],4-6 6-3 6-4
12-Jun-1970,Wightman Cup,Grass,RR,Jones / Joyce Williams [GBR] d. Mary Ann Eisel / Julie Heldman [USA],6-3 6-2
01-Jun-1970,Chichester,Grass,F,Jones / Joyce Williams [GBR] d. Esme Emmanuel [RSA] / Cecilia Martinez [USA],6-2 6-3
25-May-1970,Surbiton,Grass,F,Jones / Joyce Williams [GBR] d. Kerry Reid [AUS] / Corinne Molesworth [GBR],3-6 6-3 6-2
11-May-1970,Fulham,Clay,F,Helen Gourlay [AUS] / Patricia Walkden [RSA] d. Jones / Joyce Williams [GBR],6-1 4-6 6-4
28-Jan-1970,Auckland,Grass,F,Jones / Margaret Court [AUS] d. Karen Krantzcke / Kerry Reid [AUS],6-0 6-4
11-Jan-1970,Cape Town,Hard,F,Jones / Patricia Walkden [RSA] d. Peaches Bartkowicz / Valerie Ziegenfuss [USA],7-5 6-3
05-Jan-1970,Bloemfontein 1,Hard,F,Jones / Patricia Walkden [RSA] d. Peaches Bartkowicz / Valerie Ziegenfuss [USA],6-4 6-4
26-May-1969,Roland Garros,Clay,F,(3) Jones / Francoise Durr [FRA] d. (1) Margaret Court [AUS] / Nancy Richey [USA],6-0 4-6 7-5
24-Jun-1968,Wimbledon,Grass,F,(1) Rosie Casals / Billie Jean King [USA] d. (3) Jones / Francoise Durr [FRA],3-6 6-4 7-5
27-May-1968,Roland Garros,Clay,F,(2) Jones / Francoise Durr [FRA] d. (1) Rosie Casals / Billie Jean King [USA],7-5 4-6 6-4
13-May-1963,Roland Garros,Clay,F,Jones / Renee Schuurman [RSA] d. Robyn Ebbern / Margaret Court [AUS],7-5 6-4
02-Sep-1960,US National Championships,Grass,F,(1) Maria Bueno [BRA] / Darlene Hard [USA] d. (1) Jones / Deidre Catt [GBR],6-1 6-1
17-May-1960,Roland Garros,Clay,F,(2) Maria Bueno [BRA] / Darlene Hard [USA] d. (4) Jones / Patricia Ward Hales [GBR],6-2 7-5
