Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1971,,,3,2151,3,2000,3,2065,,,,,,
1970,,,4,2116,4,1939,4,2054,3,2042,,,,
1969,,,5,2108,5,1914,3,2051,4,2026,,,,
1968,,,4,2140,4,1929,4,2052,6,2020,,,,
1967,,,4,2070,3,1854,4,2013,4,1952,,,,
1966,,,5,2017,5,1852,3,2025,6,1900,,,,
1965,,,5,2029,,,4,1988,8,1887,,,,
1964,,,7,1993,6,1835,5,1933,7,1894,,,,
1963,,,4,2004,5,1819,3,1926,4,1917,,,,
1962,,,11,1926,2,1830,7,1893,5,1897,,,,
1961,,,9,1984,5,1815,8,1898,4,1911,,,,
1960,,,2,2077,1,1884,3,1967,3,1937,,,,
1959,,,8,1934,9,1710,8,1832,6,1828,,,,
1958,,,18,1822,,,11,1790,7,1795,,,,
1957,,,10,1870,,,13,1759,9,1770,,,,
1956,,,30,1706,,,37,1557,22,1627,,,,
1955,,,57,1512,,,53,1447,48,1428,,,,
