Date,Tournament,Surface,Rd,,Score
31-Aug-1970,Brumana,Clay,F,Winnie Shaw [GBR] / Daniel Contet [FRA] d. Jones / John Alexander [AUS],7-5 ?
24-Aug-1970,Istanbul,Clay,F,Jones / John Alexander [AUS] d. Fay Toyne / Jimmy Moore [AUS],6-2 6-4
13-Jul-1970,Frinton-On-Sea,Grass,F,Jones / Hank Irvine [ZIM] d. Winnie Shaw [GBR] / John Alexander [AUS],W/O
15-Jun-1970,Eastbourne,Grass,F,Jones / Robert Maud [RSA] d. Francoise Durr / Pierre Barthes [FRA],8-10 6-3 10-8
01-Jun-1970,Chichester,Grass,F,Jones / Keith Diepraam [RSA] d. Cecilia Martinez [USA] / John Clifton [GBR],6-4 6-2
21-Dec-1969,East London,Hard,F,Jones / Mark Cox [GBR] d. Patricia Walkden / Frew Mcmillan [RSA],6-4 6-4
05-Aug-1969,St. Louis Pros,,F,Jones / Fred Stolle [AUS] d. Billie Jean King [USA] / Rod Laver [AUS],4-Aug
23-Jun-1969,Wimbledon,Grass,F,Jones / Fred Stolle [AUS] d. Judy Tegart / Tony Roche [AUS],6-2 6-3
04-Oct-1968,Corpus Christi Pros,Hard,F,Jones / Andres Gimeno [ESP] d. Rosie Casals [USA] / Pancho Segura [ECU],6-3 6-4
08-Jul-1968,Dublin,Grass,F,Margaret Court / Ken Fletcher [AUS] d. Jones / Tom Okker [NED],6-4 6-3
22-May-1967,Roland Garros,Clay,F,Billie Jean King [USA] / Owen Davidson [AUS] d. Jones / Ion Tiriac [ROU],6-3 6-1
14-Aug-1966,Moscow,,F,Jones / Alex Metreveli [RUS] d. Judy Tegart [AUS] / Thomas Lejus [RUS],7-5 8-6
22-May-1966,Roland Garros,Clay,F,Annette Van Zyl / Frew Mcmillan [RSA] d. Jones / Clark Graebner [USA],1-6 6-3 6-2
12-Feb-1965,Paris Indoors,Carpet,F,Fay Toyne / Jimmy Moore [AUS] d. Jones / Roger Taylor [GBR],6-4 3-6 6-2
08-Feb-1965,Cologne,Carpet,F,Jones / Jaroslav Drobny [TCH] d. Christiane Mercelis [BEL] / Daniel Contet [FRA],6-2 5-7 6-3
02-Nov-1964,Torquay,Carpet,F,Jones / Jaroslav Drobny [TCH] d. Joyce Williams [GBR] / Bob Carmichael [AUS],6-2 3-6 6-3
28-Oct-1964,St. Austell,Carpet,F,Fay Toyne / Jimmy Moore [AUS] d. Jones / Bob Howe [AUS],9-11 6-0 6-1
12-Aug-1964,Munich,Clay,F,Jones / Billy Knight [GBR] d. Annette Van Zyl / Cliff Drysdale [RSA],7-5 6-4
25-Jun-1962,Wimbledon,Grass,F,(3) Margaret Osborne Dupont [USA] / Neale Fraser [AUS] d. Jones / Dennis Ralston [USA],2-6 6-3 13-11
17-May-1960,Roland Garros,Clay,F,(2) Maria Bueno [BRA] / Bob Howe [AUS] d. Jones / Roy Emerson [AUS],1-6 6-1 6-2
