Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
1969 Wimbledon F,W vs King,75.6%,63.1%,46.3%,62.7%,41.7%,40.0%,0.0%,100.0%,100.0%,0.0%,-,97,81
Career (1 matches),,75.6%,63.1%,46.3%,62.7%,41.7%,40.0%,0.0%,100.0%,100.0%,0.0%,-,97,81
