Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
1983,1,0,1,0.0%,0-2,0.0%,1-12,7.7%,0-0,-,0,,,,,,,,,,,,R64 (Beckenham)
1982,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,0,,,,,,,,,,,,R64 (Beckenham)
1981,1,0,1,0.0%,1-2,33.3%,13-17,43.3%,0-0,-,0,,,,,,,,,,,,R16 (Ilkley 1)
1980,1,0,1,0.0%,0-1,0.0%,3-6,33.3%,0-1,0.0%,0,,,,,,,,,,,,R64 (Brisbane)
1979,4,3,1,75.0%,7-2,77.8%,49-23,68.1%,0-0,-,0,,,,,,,,,,,,SF (Frinton-On-Sea)
1978,10,7,3,70.0%,14-2,87.5%,93-43,68.4%,1-1,50.0%,0,,,,,,,,,,,,F (Frinton)
1977,10,8,2,80.0%,17-4,81.0%,115-69,62.5%,0-0,-,0,,,,,,,,,,,,W (3x)
1975,9,8,1,88.9%,16-3,84.2%,109-39,73.6%,0-1,0.0%,0,,,,,,,,,,,,W (3x)
1974,6,6,0,100.0%,11-0,100.0%,68-18,79.1%,1-0,100.0%,0,,,,,,,,,,,,W (2x)
1971,47,34,13,72.3%,66-29,69.5%,492-349,58.5%,5-3,62.5%,0,,,,,,,,,,,,W (2x)
1970,94,77,17,81.9%,161-47,77.4%,1135-647,63.7%,2-1,66.7%,0,,,,,,,,,,,,W (9x)
1969,109,85,24,78.0%,181-53,77.4%,1321-701,65.3%,0-0,-,0,,,,,,,,,,,,W (9x)
1968,61,48,13,78.7%,100-30,76.9%,733-446,62.2%,0-0,-,0,,,,,,,,,,,,W (4x)
1967,92,80,12,87.0%,163-31,84.0%,1095-501,68.6%,0-0,-,0,,,,,,,,,,,,W (11x)
1966,77,68,9,88.3%,142-24,85.5%,953-418,69.5%,0-0,-,0,,,,,,,,,,,,W (8x)
1965,69,58,11,84.1%,118-18,86.8%,794-329,70.7%,0-0,-,0,,,,,,,,,,,,W (8x)
1964,95,74,21,77.9%,155-46,77.1%,1114-554,66.8%,0-0,-,0,,,,,,,,,,,,W (7x)
1963,99,84,15,84.8%,173-38,82.0%,1192-576,67.4%,0-0,-,0,,,,,,,,,,,,W (10x)
1962,100,86,14,86.0%,173-34,83.6%,1170-519,69.3%,0-0,-,0,,,,,,,,,,,,W (12x)
1961,111,88,23,79.3%,183-55,76.9%,1302-683,65.6%,0-0,-,0,,,,,,,,,,,,W (9x)
1960,125,109,16,87.2%,225-45,83.3%,1529-693,68.8%,0-0,-,0,,,,,,,,,,,,W (14x)
1959,63,50,13,79.4%,104-32,76.5%,753-405,65.0%,0-0,-,0,,,,,,,,,,,,W (3x)
1958,62,50,12,80.6%,102-36,73.9%,736-394,65.1%,0-0,-,0,,,,,,,,,,,,W (3x)
1957,34,26,8,76.5%,54-19,74.0%,397-240,62.3%,0-0,-,0,,,,,,,,,,,,W (5x)
1956,31,24,7,77.4%,51-16,76.1%,376-212,63.9%,0-0,-,0,,,,,,,,,,,,W (6x)
1955,15,11,4,73.3%,24-10,70.6%,175-108,61.8%,0-0,-,0,,,,,,,,,,,,W (3x)
1954,6,3,3,50.0%,8-6,57.1%,82-72,53.2%,0-0,-,0,,,,,,,,,,,,W (British Junior Chps)
Career,1333,1087,246,81.5%,2249-587,79.3%,15804-8086,66.2%,9-7,56.3%,0,,,,,,,,,,,,
