Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,3,Hard,7,4,3,57.1%,1,0,1,0.0%,2022,2025,Q3,7,1.02,2.5%,2.3%,66.4%,62.8%,51.1%,58.9%,41.8%,52.9%,54.0%
Roland Garros,2,Clay,7,5,2,71.4%,2,1,1,50.0%,2022,2023,R128,7,1.17,1.1%,1.3%,72.6%,59.2%,49.6%,56.6%,50.8%,61.0%,46.8%
Wimbledon,2,Grass,5,3,2,60.0%,4,2,2,50.0%,2022,2023,R128,5,1.00,3.4%,1.3%,70.5%,60.8%,45.0%,56.1%,43.9%,60.3%,48.9%
US Open,3,Hard,8,5,3,62.5%,1,0,1,0.0%,2022,2024,R128,8,1.12,2.6%,1.6%,69.7%,61.7%,48.6%,57.8%,47.2%,64.8%,46.2%
Fed Cup,2,,4,2,2,50.0%,0,0,0,-,2019,2020,,4,1.10,5.6%,1.7%,66.2%,62.6%,53.6%,59.6%,44.5%,70.0%,40.5%
Madrid,2,Clay,2,0,2,0.0%,0,0,0,-,2023,2025,Q1,2,0.52,0.0%,5.6%,62.4%,53.8%,38.3%,48.0%,27.2%,43.8%,33.3%
Miami,4,Hard,7,3,4,42.9%,0,0,0,-,2021,2025,R64,7,0.95,1.9%,1.6%,71.5%,59.9%,50.3%,57.2%,40.8%,45.5%,44.1%
Indian Wells,2,Hard,3,1,2,33.3%,0,0,0,-,2023,2025,Q2,3,0.90,0.8%,2.8%,68.5%,54.7%,37.2%,49.2%,46.0%,56.1%,68.0%
Washington,2,Hard,4,2,2,50.0%,2,0,2,0.0%,2022,2024,R32,4,1.04,2.4%,3.1%,73.0%,63.0%,43.6%,57.8%,43.8%,62.5%,42.1%
Bastad 125,3,Clay,5,2,3,40.0%,1,0,1,0.0%,2022,2024,R16,3,0.92,0.5%,0.0%,66.5%,53.9%,46.5%,51.4%,44.6%,53.1%,42.3%
Valencia 125,2,Clay,7,5,2,71.4%,3,2,1,66.7%,2022,2023,SF,7,1.01,1.0%,2.9%,73.0%,55.6%,42.6%,52.1%,48.2%,56.0%,45.7%
