Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2023 Hua Hin R32,W vs Tararudee,5.2,6.6,3.9,51.0%,54.2%,68.8%,61.1%,56.5%,11.1%,4.0,3.0,10.0,10.4
2022 ITF Bronx SF,W vs Waltert,3.7,4.1,3.3,54.8%,72.4%,85.7%,12.5%,62.9%,12.5%,25.0,28.4,13.0,26.5
2022 Australian Open Q3,W vs Volynets,4.6,4.5,4.6,50.0%,31.0%,33.3%,47.4%,57.9%,11.3%,6.5,4.3,-8.0,-7.8
Career (3 matches),,4.5,5.0,4.0,51.9%,52.4%,57.9%,46.7%,58.5%,11.5%,11.8,9.5,5.0,6.1
