Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,284,129,155,45.4%,300-351,46.1%,2946-3159,48.3%,30-34,46.9%,262,62.0%,34.9%,4.9%,7.9%,57.1%,65.6%,42.4%,55.6%,42.9%,49.3%,0.97
Clay,117,56,61,47.9%,130-139,48.3%,1235-1293,48.9%,16-15,51.6%,114,62.7%,36.6%,3.4%,7.4%,59.3%,63.3%,43.2%,55.1%,43.8%,49.4%,0.97
Grass,60,33,27,55.0%,76-69,52.4%,731-688,51.5%,11-12,47.8%,60,73.2%,30.0%,7.3%,6.4%,61.1%,70.3%,44.0%,60.1%,40.6%,50.5%,1.02
Carpet,6,4,2,66.7%,8-5,61.5%,67-67,50.0%,2-0,100.0%,6,-,-,9.1%,6.9%,57.9%,67.5%,41.0%,56.3%,41.0%,48.7%,0.94
Grand Slams,84,36,48,42.9%,84-109,43.5%,893-953,48.4%,5-10,33.3%,78,63.3%,31.4%,4.8%,8.2%,56.6%,66.3%,43.1%,56.2%,42.3%,49.3%,0.97
Premiers,141,56,85,39.7%,136-182,42.8%,1390-1578,46.8%,18-23,43.9%,135,63.1%,32.1%,5.6%,7.2%,58.2%,65.6%,41.8%,55.7%,41.5%,48.7%,0.94
Internationals,163,91,72,55.8%,206-187,52.4%,1861-1850,50.1%,25-19,56.8%,155,63.1%,37.6%,4.8%,7.9%,58.3%,65.7%,42.1%,55.9%,43.8%,49.9%,0.99
Finals,8,1,7,12.5%,6-15,28.6%,85-119,41.7%,2-2,50.0%,8,60.2%,23.5%,3.7%,3.7%,60.0%,62.2%,46.1%,55.8%,37.7%,46.9%,0.85
Semi-finals,18,8,10,44.4%,15-25,37.5%,168-206,44.9%,1-2,33.3%,18,68.0%,28.3%,5.2%,7.0%,61.4%,65.1%,43.2%,56.6%,38.3%,47.7%,0.88
Quarter-finals,43,17,26,39.5%,45-58,43.7%,457-516,47.0%,5-7,41.7%,40,61.7%,33.6%,5.0%,7.0%,59.6%,64.2%,41.8%,55.1%,42.1%,48.9%,0.94
vs Righties,427,207,220,48.5%,481-508,48.6%,4619-4739,49.4%,54-57,48.6%,404,64.4%,35.5%,5.0%,7.5%,58.3%,65.8%,43.0%,56.3%,43.0%,49.7%,0.98
vs Lefties,34,12,22,35.3%,27-49,35.5%,305-404,43.0%,3-3,50.0%,32,60.8%,22.0%,4.3%,7.7%,57.2%,65.1%,41.4%,54.9%,38.8%,47.1%,0.86
vs Top 10,46,17,29,37.0%,40-65,38.1%,451-558,44.7%,7-4,63.6%,45,63.7%,25.2%,5.1%,6.9%,56.4%,65.9%,43.8%,56.2%,39.1%,47.9%,0.89
