Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2023 Roland Garros R128,L vs Day,20,30,0.7,15.5%,23.3%,20,25,0.8,17.7%,22.1%,9.7%,8.0%,1.5,18.6%,12.4%
2023 Rabat R32,L vs Riera,12,30,0.4,13.0%,32.6%,12,18,0.7,15.2%,22.8%,11.4%,3.8%,2.3,15.2%,6.5%
2022 Wimbledon R128,L vs Kerber,20,27,0.7,18.9%,25.5%,19,19,1.0,20.7%,20.7%,12.0%,8.7%,1.4,16.0%,11.3%
2021 US Open R128,L vs Rakhimova,20,30,0.7,11.8%,17.8%,19,20,1.0,12.8%,13.5%,10.8%,2.0%,0.6,11.8%,20.1%
2021 Wimbledon R128,L vs Rybakina,6,15,0.4,6.8%,17.0%,5,10,0.5,6.8%,13.5%,4.1%,2.7%,1.3,22.7%,18.2%
2021 Roland Garros R64,L vs Kontaveit,7,20,0.4,9.1%,26.0%,7,20,0.4,10.3%,29.4%,,,1.5,22.1%,14.3%
2021 Roland Garros R128,W vs Schmiedlova,26,29,0.9,22.8%,25.4%,26,29,0.9,25.2%,28.2%,,,0.2,4.4%,18.4%
2021 Australian Open R32,L vs Pegula,11,18,0.6,12.0%,19.6%,11,18,0.6,12.9%,21.2%,,,1.6,20.7%,13.0%
2021 Australian Open R64,W vs Hibino,15,21,0.7,13.2%,18.4%,15,21,0.7,14.2%,19.8%,,,0.3,11.4%,34.2%
2021 Australian Open R128,W vs Sakkari,8,27,0.3,5.3%,17.9%,8,27,0.3,6.1%,20.5%,,,0.6,15.9%,26.5%
2020 Roland Garros R128,L vs Siegemund,11,22,0.5,7.3%,14.7%,11,22,0.5,7.9%,15.7%,,,1.4,24.7%,18.0%
2020 US Open R128,W vs Baptiste,19,21,0.9,15.8%,17.5%,14,12,1.2,13.7%,11.8%,12.7%,0.0%,0.5,13.3%,29.2%
2020 Dubai R16,L vs Pliskova,10,19,0.5,9.9%,18.8%,9,11,0.8,10.8%,13.3%,7.2%,3.6%,1.2,12.9%,10.9%
2020 Australian Open R128,L vs Pliskova,10,16,0.6,8.0%,12.8%,10,16,0.6,9.4%,15.1%,,,1.1,12.0%,11.2%
2019 Fed Cup RR,W vs Barty,23,34,0.7,11.4%,16.9%,19,29,0.7,10.4%,15.9%,7.7%,2.7%,0.8,15.9%,19.9%
2019 Moscow SF,L vs Bencic,29,22,1.3,22.3%,16.9%,23,16,1.4,20.7%,14.4%,14.4%,5.4%,1.7,16.9%,10.0%
2019 Moscow QF,W vs Bertens,21,33,0.6,12.4%,19.5%,19,28,0.7,12.0%,17.7%,5.7%,6.3%,0.9,17.2%,18.9%
2019 US Open R64,L vs Ferro,34,41,0.8,16.8%,20.3%,32,30,1.1,17.4%,16.3%,12.5%,4.3%,0.8,17.3%,21.3%
2019 US Open R128,W vs Kerber,46,43,1.1,23.2%,21.7%,43,36,1.2,23.5%,19.7%,18.0%,5.5%,1.5,18.2%,12.1%
2019 Wimbledon R64,L vs Kvitova,7,18,0.4,5.7%,14.6%,4,10,0.4,4.0%,9.9%,3.0%,0.0%,1.3,19.5%,14.6%
Career (101 matches),,2472,2915,0.8,16.7%,19.7%,2129,2426,0.9,16.0%,18.2%,9.3%,4.1%,0.9,14.7%,16.8%
