Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-07-01),815,33,,,,,,,,,270,315,,
2023,420,138,158,1591,146,1567,147,1539,84,1576,,,,
2022,128,486,101,1679,99,1632,99,1606,53,1651,,,,
2021,174,404,118,1665,128,1604,95,1633,47,1667,,,,
2020,214,307,,,,,,,,,217,376,,
2019,241,252,64,1790,63,1750,,,,,203,375,,
2018,100,614,41,1848,43,1795,37,1755,26,1771,14,4097,,
2017,10,3258,11,1985,14,1917,29,1794,4,1875,62,1150,,
2016,36,1312,26,1880,33,1796,73,1661,10,1809,18,3226,,
2015,37,1247,37,1852,39,1782,92,1625,22,1751,56,1434,,
2014,39,1249,46,1819,48,1750,103,1613,24,1733,200,293,,
2013,113,591,103,1688,94,1649,153,1531,82,1580,113,683,,
2012,97,688,114,1681,122,1611,139,1546,63,1615,491,85,,
2011,122,535,157,1566,146,1536,182,1447,138,1488,337,175,,
2010,116,600,118,1664,120,1606,162,1497,,,220,303,,
2009,322,125,238,1426,243,1358,188,1452,,,,,,
2008,476,40,,,,,,,,,,,,
2007,549,26,,,,,,,,,,,,
