Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,195,86,109,44.1%,191-237,44.6%,1907-2081,47.8%,23-22,51.1%,184,70.1%,25.5%,8.6%,7.4%,52.8%,70.0%,46.6%,58.9%,40.2%,49.5%,0.98
Clay,42,19,23,45.2%,44-55,44.4%,453-502,47.4%,7-7,50.0%,41,71.9%,25.8%,7.5%,5.7%,54.3%,68.7%,48.4%,59.4%,38.4%,49.0%,0.95
Grass,65,41,24,63.1%,91-56,61.9%,781-678,53.5%,18-9,66.7%,65,78.7%,27.9%,10.4%,5.3%,56.2%,73.8%,52.1%,64.3%,40.2%,51.8%,1.13
Grand Slams,71,32,39,45.1%,74-84,46.8%,709-805,46.8%,17-7,70.8%,70,75.3%,19.5%,7.9%,6.5%,53.8%,70.6%,48.2%,60.2%,38.4%,49.1%,0.97
Premiers,118,59,59,50.0%,126-133,48.6%,1218-1222,49.9%,10-17,37.0%,112,71.3%,29.6%,8.7%,6.6%,53.4%,69.9%,47.2%,59.3%,41.0%,50.1%,1.01
Internationals,63,32,31,50.8%,74-70,51.4%,723-685,51.3%,13-13,50.0%,63,74.3%,24.1%,11.2%,6.9%,54.4%,72.8%,49.5%,62.2%,40.2%,50.9%,1.06
Finals,6,2,4,33.3%,4-8,33.3%,60-68,46.9%,0-2,0.0%,6,77.3%,14.0%,8.9%,6.2%,53.6%,76.9%,47.7%,63.3%,34.3%,48.6%,0.94
Semi-finals,11,6,5,54.5%,15-11,57.7%,127-110,53.6%,1-2,33.3%,11,79.3%,29.2%,11.2%,4.1%,57.3%,72.7%,51.5%,63.6%,41.6%,52.0%,1.14
Quarter-finals,25,10,15,40.0%,25-28,47.2%,226-257,46.8%,5-1,83.3%,24,73.7%,30.0%,7.5%,6.8%,54.5%,71.2%,44.9%,59.2%,38.7%,48.9%,0.95
vs Righties,276,137,139,49.6%,301-314,48.9%,2876-2950,49.4%,39-33,54.2%,265,72.6%,26.3%,8.9%,6.6%,53.9%,70.7%,48.0%,60.2%,40.2%,50.0%,1.01
vs Lefties,25,9,16,36.0%,25-32,43.9%,264-299,46.9%,9-5,64.3%,24,72.8%,23.5%,8.2%,7.3%,52.8%,70.7%,49.5%,60.7%,38.0%,49.3%,0.97
vs Top 10,40,16,24,40.0%,36-51,41.4%,377-439,46.2%,7-5,58.3%,38,78.8%,25.4%,7.7%,5.9%,53.8%,69.4%,47.5%,59.3%,38.5%,48.9%,0.95
