Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2022 Wimbledon R128,L vs Rybakina,16.4%,60.0%,12.9%,65.0%,18.5%,0.0%,0.0%,13.0%,0.0%,0.0%,-,169,129
2019 San Jose R16,L vs Sabalenka,2.0%,0.0%,8.5%,44.4%,9.5%,25.0%,100.0%,16.7%,0.0%,0.0%,-,90,64
2018 s Hertogenbosch R32,W vs Sasnovich,4.0%,100.0%,6.4%,80.0%,19.7%,43.8%,0.0%,22.0%,83.3%,0.0%,-,70,103
2018 Stuttgart F,L vs Pliskova,5.4%,25.0%,8.7%,38.5%,17.0%,38.9%,0.0%,5.1%,0.0%,0.5%,0.0%,44,60
2018 Stuttgart QF,W vs Halep,3.7%,50.0%,6.2%,42.9%,22.2%,11.1%,0.0%,15.4%,42.9%,0.6%,0.0%,184,210
2018 Miami R64,L vs Collins,1.4%,0.0%,7.4%,54.5%,17.5%,17.4%,100.0%,12.9%,36.4%,0.9%,50.0%,51,80
2018 Indian Wells R32,L vs Sakkari,16.7%,71.4%,15.2%,66.7%,8.2%,0.0%,0.0%,3.0%,0.0%,0.7%,0.0%,-9,49
2017 Fed Cup RR,W vs Sabalenka,4.0%,50.0%,12.9%,73.3%,22.0%,25.0%,0.0%,7.7%,33.3%,0.9%,0.0%,117,132
2017 Fed Cup RR,W vs Sasnovich,6.1%,100.0%,6.7%,100.0%,17.9%,12.5%,50.0%,14.3%,30.0%,0.5%,0.0%,38,53
2017 Zhuhai F,L vs Goerges,7.8%,75.0%,10.6%,72.7%,15.2%,10.0%,0.0%,3.3%,0.0%,0.8%,0.0%,58,112
2017 US Open SF,L vs Keys,23.5%,66.7%,23.5%,60.9%,14.3%,10.0%,0.0%,9.1%,50.0%,1.0%,0.0%,55,57
2017 US Open QF,W vs Pliskova,1.3%,100.0%,5.0%,85.7%,18.3%,37.5%,0.0%,7.0%,25.0%,0.0%,-,167,179
2017 Stanford F,L vs Keys,11.5%,28.6%,10.7%,53.3%,17.2%,37.5%,0.0%,10.0%,100.0%,0.6%,0.0%,35,64
2017 Stanford SF,W vs Bellis,5.6%,50.0%,13.0%,76.9%,27.9%,38.1%,0.0%,18.8%,66.7%,0.0%,-,69,90
2017 Wimbledon QF,L vs Rybarikova,23.2%,46.2%,24.0%,64.0%,12.3%,9.5%,0.0%,8.5%,25.0%,0.0%,-,133,108
2017 Wimbledon R16,W vs Wozniacki,19.7%,83.3%,22.5%,71.9%,13.2%,15.8%,100.0%,16.4%,38.5%,0.9%,0.0%,102,106
2017 Madrid QF,L vs Halep,12.2%,60.0%,14.0%,58.3%,13.3%,14.3%,33.3%,4.4%,0.0%,1.5%,50.0%,106,57
2017 Indian Wells R64,L vs Safarova,4.2%,100.0%,6.8%,66.7%,19.1%,23.1%,0.0%,1.7%,0.0%,0.5%,100.0%,-19,27
2017 Australian Open SF,L vs Williams,3.5%,33.3%,6.9%,71.4%,21.1%,45.5%,50.0%,6.8%,25.0%,0.0%,-,75,98
2017 Australian Open QF,W vs Muguruza,0.0%,-,6.0%,85.7%,21.9%,33.3%,0.0%,15.4%,66.7%,0.0%,-,58,62
Career (35 matches),,6.6%,62.0%,10.0%,67.1%,18.3%,25.5%,25.5%,10.9%,32.3%,0.4%,30.4%,91,102
