Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2019 San Jose R32,W vs Bouzkova,31% (4/13),100% (4/4),1/1,23% (3/13),67% (2/3),4/4,2/3,0/0,1/1,0/0
2018 Beijing R64,L vs Hercog,25% (2/8),50% (1/2),1/4,86% (6/7),17% (1/6),0/1,0/0,0/1,0/0,0/0
2018 Tokyo R32,L vs Barty,31% (5/16),60% (3/5),2/4,33% (5/15),20% (1/5),1/3,1/1,1/1,0/0,0/0
2018 US Open R128,L vs Flipkens,27% (3/11),33% (1/3),0/2,30% (3/10),33% (1/3),1/1,0/0,1/1,0/0,0/0
2018 Cincinnati R64,L vs Bertens,0% (0/7),- (0/0),0/5,86% (6/7),17% (1/6),0/0,0/0,1/1,0/0,0/0
2018 Wimbledon R128,L vs Siniakova,17% (3/18),67% (2/3),0/4,53% (9/17),56% (5/9),1/2,0/1,0/0,0/1,0/0
2018 Birmingham R32,L vs Martic,13% (1/8),0% (0/1),0/2,44% (4/9),0% (0/4),0/0,0/0,0/2,0/0,0/1
2018 s-Hertogenbosch SF,L vs Krunic,50% (8/16),50% (4/8),0/2,31% (5/16),60% (3/5),4/4,1/1,2/2,0/0,0/0
2018 s-Hertogenbosch QF,W vs Riske Amritraj,35% (6/17),50% (3/6),2/4,25% (4/16),0% (0/4),2/3,0/1,1/1,0/0,0/0
2018 s-Hertogenbosch R16,W vs Rus,60% (6/10),50% (3/6),0/2,27% (3/11),33% (1/3),2/3,1/1,2/2,1/1,0/0
2018 s-Hertogenbosch R32,W vs Sasnovich,50% (5/10),60% (3/5),1/1,20% (2/10),50% (1/2),2/2,0/0,0/0,0/0,0/0
2018 Roland Garros R64,L vs Tsurenko,25% (3/12),67% (2/3),0/3,54% (7/13),29% (2/7),2/2,1/1,0/2,0/0,0/1
2018 Roland Garros R128,W vs Siegemund,50% (5/10),100% (5/5),1/3,40% (4/10),25% (1/4),2/5,2/2,0/0,1/1,0/0
2018 Rome R64,L vs Kontaveit,14% (1/7),0% (0/1),0/4,71% (5/7),0% (0/5),0/0,0/0,0/1,0/0,0/1
2018 Madrid R64,L vs Mladenovic,22% (2/9),100% (2/2),0/6,67% (6/9),0% (0/6),0/2,0/0,1/1,0/0,0/0
2018 Stuttgart F,L vs Pliskova,27% (3/11),33% (1/3),0/2,36% (4/11),50% (2/4),0/1,0/0,3/3,0/0,1/1
2018 Stuttgart SF,W vs Garcia,33% (3/9),100% (3/3),0/0,0% (0/9),- (0/0),3/3,2/2,0/0,1/1,0/0
2018 Stuttgart QF,W vs Halep,50% (4/8),75% (3/4),0/0,22% (2/9),100% (2/2),2/2,1/1,0/0,1/1,0/0
2018 Stuttgart R16,W vs Siegemund,36% (5/14),80% (4/5),0/3,20% (3/15),0% (0/3),2/3,1/1,1/1,1/1,0/0
2018 Stuttgart R32,W vs Stephens,100% (6/6),100% (6/6),1/1,43% (3/7),67% (2/3),6/6,2/2,0/0,1/1,0/0
2019 (1 matches),,30.8%,100.0%,100.0%,23.1%,66.7%,100.0%,66.7%,-,100.0%,-
2018 (25 matches),,34.3%,67.0%,15.3%,40.0%,28.2%,71.7%,84.2%,75.0%,87.5%,57.1%
2017 (44 matches),,41.8%,69.7%,21.9%,32.8%,30.3%,80.5%,80.0%,74.4%,86.4%,54.5%
2016 (37 matches),,41.7%,69.6%,32.9%,33.5%,25.9%,75.5%,87.8%,68.2%,87.5%,52.9%
2015 (24 matches),,38.5%,65.7%,22.0%,35.1%,22.6%,78.7%,89.5%,62.5%,90.0%,60.0%
Career (207 matches),,40.2%,70.0%,23.5%,36.1%,27.6%,76.8%,81.6%,69.3%,84.0%,53.7%
