Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2023 Nonthaburi 2 CH R16,L vs Donskoy,30,17,1.8,19.7%,11.2%,22,17,1.3,15.8%,12.2%,10.8%,5.0%,4.9,22.4%,4.6%
2021 Wimbledon R128,L vs Alcaraz,55,45,1.2,15.5%,12.7%,47,41,1.1,14.2%,12.3%,8.1%,5.1%,1.5,18.6%,12.7%
2021 Roland Garros R128,L vs Cecchinato,23,33,0.7,11.4%,16.4%,23,33,0.7,12.8%,18.3%,,,1.0,13.4%,13.9%
2021 Australian Open R128,L vs Humbert,18,37,0.5,7.4%,15.3%,18,37,0.5,8.3%,17.1%,,,0.7,14.0%,19.0%
2020 Roland Garros R128,L vs Balazs,30,30,1.0,16.2%,16.2%,30,30,1.0,17.6%,17.6%,,,1.4,14.6%,10.8%
2020 US Open R128,L vs Carreno Busta,64,54,1.2,21.5%,18.2%,50,49,1.0,18.7%,18.3%,11.9%,4.5%,1.0,16.2%,16.2%
2020 Australian Open R128,L vs Ymer,15,30,0.5,8.9%,17.8%,15,30,0.5,9.8%,19.6%,,,1.3,14.2%,10.7%
2019 Playford CH F,L vs Duckworth,19,30,0.6,13.2%,20.8%,13,28,0.5,10.2%,21.9%,7.0%,3.1%,1.5,13.2%,9.0%
2019 Wimbledon R128,L vs Sandgren,32,33,1.0,16.1%,16.6%,27,32,0.8,14.7%,17.4%,9.8%,4.9%,2.1,9.5%,4.5%
2019 Brisbane QF,L vs Chardy,24,27,0.9,13.0%,14.7%,12,21,0.6,8.1%,14.2%,6.1%,2.0%,0.7,15.2%,21.7%
2015 Tokyo R32,L vs Vesely,20,23,0.9,17.2%,19.8%,9,23,0.4,9.3%,23.7%,8.2%,1.0%,0.8,12.9%,17.2%
Career (11 matches),,330,359,0.9,14.7%,16.0%,266,341,0.8,13.2%,16.9%,5.9%,2.6%,1.2,15.2%,13.1%
