Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,3,0,3,0.0%,0-6,0.0%,15-36,29.4%,0-0,-,3,34.6%,24.0%,0.0%,4.4%,57.9%,52.8%,31.2%,43.7%,39.3%,41.6%,0.70,R32 (3x)
2024,47,26,21,55.3%,53-49,52.0%,496-483,50.7%,7-9,43.8%,0,,,,,,,,,,,,W (W15 Campinas)
2023,40,20,20,50.0%,38-41,48.1%,356-338,51.3%,3-5,37.5%,1,50.0%,11.1%,0.0%,2.9%,51.5%,68.6%,27.3%,48.5%,34.5%,42.1%,0.67,F (W15 Monastir)
2022,26,9,17,34.6%,21-34,38.2%,216-273,44.2%,1-3,25.0%,0,,,,,,,,,,,,QF (3x)
2021,51,29,22,56.9%,63-55,53.4%,544-514,51.4%,4-8,33.3%,0,,,,,,,,,,,,W (W15 Heraklion)
2020,13,5,8,38.5%,14-17,45.2%,135-148,47.7%,2-1,66.7%,0,,,,,,,,,,,,QF (W15 Heraklion)
2019,53,31,22,58.5%,69-48,59.0%,573-482,54.3%,6-3,66.7%,0,,,,,,,,,,,,W (W15 Heraklion)
2018,34,18,16,52.9%,38-35,52.1%,337-335,50.1%,5-7,41.7%,0,,,,,,,,,,,,QF (6x)
2017,42,25,17,59.5%,53-40,57.0%,436-403,52.0%,5-4,55.6%,0,,,,,,,,,,,,W (2x)
2016,20,11,9,55.0%,26-19,57.8%,212-189,52.9%,3-0,100.0%,0,,,,,,,,,,,,W (Sozopol $10K)
2015,8,3,5,37.5%,7-11,38.9%,57-90,38.8%,1-0,100.0%,0,,,,,,,,,,,,R16 (3x)
2014,4,1,3,25.0%,3-7,30.0%,33-50,39.8%,1-0,100.0%,0,,,,,,,,,,,,R16 (Galati 10K)
Career,341,178,163,52.2%,385-362,51.5%,3410-3341,50.5%,38-40,48.7%,4,38.2%,20.6%,0.0%,4.0%,56.2%,56.7%,30.0%,45.0%,38.0%,41.7%,0.69,
