Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),510,102,417,1308,,,350,1301,,,305,267,,
2025,530,95,420,1308,,,360,1301,,,329,238
2024,313,206,395,1324,431,1241,338,1314,,,441,151
2023,351,180,,,,,,,,,,
2022,619,52,,,,,,,,,,
2021,666,54,,,,,,,,,,
2020,575,63,,,,,,,,,798,44
2019,540,65,,,,,,,,,747,44
2018,698,14,,,,,,,,,916,5
2017,633,36,,,,,,,,,712,40
2016,681,29,,,,,,,,,637,52
2015,742,23,,,,,,,,,547,69
2014,748,20,,,,,,,,,633,43
2013,981,12,,,,,,,,,,
