Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1977,,,26,1794,23,1662,29,1715,14,1754,,,,
1976,,,35,1759,26,1663,28,1733,24,1702,,,,
1975,,,28,1816,19,1704,23,1769,23,1727,,,,
1974,,,13,1897,11,1782,15,1820,13,1791,,,,
1973,,,34,1776,23,1651,27,1749,26,1714,,,,
1972,,,31,1808,26,1674,21,1795,24,1728,,,,
1971,,,17,1868,18,1710,18,1819,14,1773,,,,
1970,,,27,1830,17,1696,27,1761,19,1747,,,,
1969,,,32,1745,32,1577,28,1715,26,1678,,,,
1968,,,35,1741,,,29,1714,32,1666,,,,
1967,,,33,1732,,,42,1563,27,1674,,,,
1966,,,69,1528,,,76,1410,57,1500,,,,
