Date,Tournament,Surface,Rd,,Score
07-Sep-1970,Pensacola,Clay,F,Gourlay / Patricia Walkden [RSA] d. Lesley Hunt [AUS] / Stephanie Defina [USA],6-2 7-5
11-Aug-1970,Toronto,Clay,F,(1) Rosie Casals [USA] / Margaret Court [AUS] d. (2) Gourlay / Patricia Walkden [RSA],6-0 6-1
27-Jul-1970,Indianapolis,Clay,F,Rosie Casals [USA] / Gail Sherriff [FRA] d. Gourlay / Patricia Walkden [RSA],6-2 6-2
20-Jul-1970,Cincinnati,Clay,F,Rosie Casals [USA] / Gail Sherriff [FRA] d. Gourlay / Patricia Walkden [RSA],12-10 6-1
06-Jul-1970,Malvern,Grass,F,Gourlay / Janice Townsend [GBR] d. Marilyn Greenwood [GBR] / Maria Eugenia Guzman [ECU],6-1 6-2
18-May-1970,Lee-on-Solent,Clay,F,Gourlay / Patricia Walkden [RSA] d. Penelope Hardgrave / Di Riste [GBR],6-1 6-2
11-May-1970,Fulham,Clay,F,Gourlay / Patricia Walkden [RSA] d. Ann Jones / Joyce Williams [GBR],6-1 4-6 6-4
29-Dec-1969,Port Elizabeth,Hard,F,Gourlay / Betty Stove [NED] d. Ann Jones [GBR] / Patricia Walkden [RSA],6-4 6-2
28-Aug-1969,Poertschach,Clay,F,Sonja Pachta [AUT] / Kora Schediwy [FRG] d. Gourlay / Maria Eugenia Guzman [ECU],6-3 6-2
18-Aug-1969,Budapest,Clay,F,Gourlay / Helen Amos [AUS] d. Katalin Borka [HUN] / Marina Chuvirina [URS],6-2 6-4
28-Jul-1969,Hilversum,Clay,F,Karen Krantzcke / Kerry Reid [AUS] d. Gourlay / Patricia Walkden [RSA],1-6 6-4 6-3
07-Jul-1969,Dusseldorf,Clay,F,Edda Buding [FRG] / Helga Schultze [GER] d. Gourlay / Laura Rossouw [RSA],6-1 6-3
12-May-1969,Barcelona,Clay,F,Karen Krantzcke / Kerry Reid [AUS] d. Gourlay / Lesley Turner [AUS],7-5 7-5
30-Jan-1969,Auckland,Grass,F,Ann Jones [GBR] / Billie Jean King [USA] d. Gourlay / Karen Krantzcke [AUS],6-2 10-8
13-Aug-1968,Baltimore,Grass,F,Gourlay / Karen Krantzcke [AUS] d. Mary Ann Eisel / Valerie Ziegenfuss [USA],3-6 6-3 RET
22-Jul-1968,Haverford,Grass,F,Mary Ann Eisel / Valerie Ziegenfuss [USA] d. Gourlay / Karen Krantzcke [AUS],6-3 6-3
10-Jun-1968,Casablanca,Clay,F,Carol Sherriff [AUS] / Gail Sherriff [FRA] d. Gourlay / Virginia Caceres [PER],6-2 RET
20-May-1968,Reggio Emilia,Clay,F,Gourlay / Lesley Turner [AUS] d. Alessandra Gobbo / Maria Teresa Nasuelli [ITA],6-3 7-5
01-Apr-1968,Nice,Clay,F,Carol Sherriff [AUS] / Gail Sherriff [FRA] d. Gourlay / Roberta Beltrame [ITA],3-6 7-5 7-5
01-Jan-1968,Sydney Manly,Grass,F,Karen Krantzcke / Judy Tegart [AUS] d. Gourlay / Kaye Dening [AUS],UNK
