Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,95,35,60,36.8%,81-131,38.2%,849-1043,44.9%,6-9,40.0%,0,,,,,,,,,,,
Clay,47,23,24,48.9%,48-55,46.6%,438-479,47.8%,4-4,50.0%,0,,,,,,,,,,,
Grass,12,2,10,16.7%,5-21,19.2%,88-143,38.1%,0-0,-,0,,,,,,,,,,,
Carpet,25,8,17,32.0%,22-34,39.3%,224-264,45.9%,1-3,25.0%,0,,,,,,,,,,,
Grand Slams,32,8,24,25.0%,20-53,27.4%,266-381,41.1%,0-2,0.0%,0,,,,,,,,,,,
Premiers,25,10,15,40.0%,22-34,39.3%,218-284,43.4%,3-2,60.0%,0,,,,,,,,,,,
Internationals,28,10,18,35.7%,22-40,35.5%,256-304,45.7%,2-6,25.0%,0,,,,,,,,,,,
Quarter-finals,5,0,5,0.0%,0-10,0.0%,24-61,28.2%,0-1,0.0%,0,,,,,,,,,,,
vs Righties,131,44,87,33.6%,102-186,35.4%,1098-1440,43.3%,10-14,41.7%,0,,,,,,,,,,,
vs Lefties,12,3,9,25.0%,8-18,30.8%,108-134,44.6%,0-0,-,0,,,,,,,,,,,
vs Top 10,11,0,11,0.0%,1-21,4.5%,51-130,28.2%,1-1,50.0%,0,,,,,,,,,,,
