Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2005,63,37,26,58.7%,93-70,57.1%,808-777,51.0%,21-9,70.0%,61,80.0%,21.4%,5.9%,2.3%,66.9%,70.0%,54.0%,64.7%,36.6%,50.5%,1.04,W (Casablanca)
2004,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,1,42.9%,0.0%,2.9%,11.4%,60.0%,61.9%,28.6%,48.6%,11.1%,29.6%,0.22,R32 (Palermo)
2003,19,5,14,26.3%,12-31,27.9%,173-222,43.8%,1-2,33.3%,19,70.3%,16.4%,4.5%,4.4%,61.7%,68.6%,47.5%,60.5%,35.0%,47.6%,0.89,R16 (4x)
2002,6,2,4,33.3%,6-11,35.3%,67-84,44.4%,1-1,50.0%,6,65.8%,23.7%,4.7%,4.0%,62.3%,62.9%,46.6%,56.8%,37.8%,47.3%,0.87,R16 (Houston)
2001,17,4,13,23.5%,14-27,34.1%,174-221,44.1%,3-2,60.0%,15,67.0%,17.8%,5.0%,4.5%,58.8%,66.2%,45.0%,57.5%,35.0%,46.6%,0.82,
2000,61,40,21,65.6%,91-46,66.4%,707-574,55.2%,11-6,64.7%,60,82.4%,25.9%,4.7%,2.2%,66.7%,70.4%,53.8%,64.9%,38.7%,51.7%,1.10,W (Bogota)
1999,44,17,27,38.6%,53-62,46.1%,530-572,48.1%,7-10,41.2%,39,73.6%,21.4%,4.6%,2.5%,64.9%,66.0%,49.0%,60.0%,36.3%,48.5%,0.91,QF (Memphis)
1998,33,21,12,63.6%,46-36,56.1%,409-382,51.7%,7-4,63.6%,33,79.0%,24.8%,3.3%,2.5%,64.6%,68.5%,53.1%,63.1%,38.1%,50.6%,1.03,W (Palermo)
1997,3,2,1,66.7%,4-2,66.7%,30-26,53.6%,0-0,-,3,86.2%,18.5%,8.1%,1.9%,63.7%,74.5%,60.3%,69.4%,31.8%,50.8%,1.04,QF (Santiago)
Career,247,128,119,51.8%,319-287,52.6%,2901-2870,50.3%,51-34,60.0%,237,77.3%,22.3%,4.8%,2.7%,65.1%,68.7%,51.5%,62.7%,36.9%,49.8%,0.99,
