Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2009,311,135,213,1532,,,181,1523,,,1021,18,,
2008,195,215,192,1546,166,1508,166,1539,,,514,89,,
2007,261,150,106,1673,112,1600,78,1669,,,,,,
2005,56,628,59,1778,96,1640,33,1798,120,1521,480,80,117,1439
2004,133,331,109,1683,,,79,1675,,,273,165,,
2003,118,349,108,1680,168,1516,74,1681,,,352,123,,
2002,116,342,112,1679,141,1563,86,1678,,,741,34,,
2001,254,139,132,1645,156,1561,107,1628,171,1471,712,37,,
2000,21,1235,23,1902,65,1717,12,1897,,,148,405,,
1999,101,464,123,1680,113,1620,107,1660,,,112,591,,
1998,39,983,35,1874,159,1554,24,1876,78,1607,85,746,,
1997,141,325,186,1591,245,1416,149,1586,,,134,523,,
1996,424,62,,,,,,,,,369,127,,
1995,764,,,,,,,,,,,,,
1994,786,,,,,,,,,,740,28,,
