Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,3,Hard,4,1,3,25.0%,1,0,1,0.0%,1999,2003,R64,4,0.84,4.5%,3.9%,65.1%,70.1%,39.3%,59.3%,34.0%,59.6%,41.4%
Roland Garros,6,Clay,18,12,6,66.7%,7,7,0,100.0%,1999,2005,F,18,1.05,4.5%,3.7%,61.8%,69.9%,48.7%,61.8%,40.2%,57.5%,48.3%
Wimbledon,4,Grass,4,0,4,0.0%,2,1,1,50.0%,1998,2005,R128,4,0.77,2.8%,2.8%,70.3%,62.8%,46.6%,57.9%,32.4%,67.9%,13.0%
US Open,5,Hard,7,2,5,28.6%,7,5,2,71.4%,1998,2005,R64,7,0.90,5.7%,3.4%,63.1%,68.5%,53.5%,63.0%,33.3%,65.5%,37.7%
Davis Cup,4,,7,5,2,71.4%,5,2,3,40.0%,1999,2005,,0,,,,,,,,,,
Palermo,6,Clay,13,8,5,61.5%,1,1,0,100.0%,1998,2004,W,13,1.07,4.1%,2.4%,64.0%,66.3%,55.8%,62.5%,40.2%,50.7%,56.3%
Umag,5,Clay,13,8,5,61.5%,4,2,2,50.0%,1998,2003,F,13,1.00,3.1%,2.5%,62.2%,68.1%,50.8%,61.6%,38.5%,58.5%,40.2%
Mallorca,4,Clay,9,5,4,55.6%,3,0,3,0.0%,1998,2001,SF,9,1.09,3.9%,1.6%,70.9%,67.6%,52.5%,63.2%,39.9%,67.9%,44.1%
Hamburg Masters,4,Clay,9,5,4,55.6%,1,0,1,0.0%,1999,2005,R16,9,1.03,3.1%,2.8%,62.9%,62.2%,50.5%,57.9%,43.5%,60.0%,44.3%
Buenos Aires,4,Clay,8,4,4,50.0%,4,3,1,75.0%,2002,2009,F,7,1.14,4.5%,2.0%,66.1%,71.2%,55.5%,65.8%,38.8%,63.6%,38.5%
Bucharest,4,Clay,7,3,4,42.9%,0,0,0,-,1998,2005,QF,7,1.00,4.4%,1.3%,67.0%,64.8%,52.7%,60.8%,39.2%,54.8%,40.0%
