Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1995,422,1,331,1502,305,1453,304,1470,156,1481,,,,
1994,251,4,254,1554,246,1503,246,1504,140,1522,,,,
1993,,,255,1561,252,1509,243,1505,137,1515,,,,
1992,251,3,201,1604,176,1557,214,1531,112,1547,,,,
1991,225,4,186,1617,174,1559,180,1561,100,1558,,,,
1990,136,7,121,1685,121,1606,105,1625,79,1602,,,,
1989,92,13,93,1710,80,1646,106,1618,67,1608,,,,
1988,91,9,85,1694,66,1643,82,1620,57,1627,,,,
1987,67,12,59,1766,46,1701,62,1666,46,1686,,,,
1986,79,9,81,1716,76,1626,72,1646,54,1652,,,,
1985,62,,72,1735,64,1644,70,1644,65,1631,,,,
1984,33,,50,1785,48,1671,35,1749,48,1659,,,,
1983,,,64,1736,57,1628,58,1650,66,1608,,,,
1982,,,50,1773,30,1714,146,1484,101,1516,,,,
