Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2019,15,10,5,66.7%,23-13,63.9%,184-151,54.9%,2-1,66.7%,15,79.1%,28.9%,11.0%,3.5%,57.4%,73.6%,51.1%,64.0%,39.7%,52.0%,1.10,W (Shenzhen)
2018,7,4,3,57.1%,9-7,56.3%,75-71,51.4%,0-1,0.0%,7,79.2%,24.7%,12.8%,4.2%,57.1%,74.4%,52.4%,65.0%,39.4%,51.3%,1.12,SF (St.Brieuc)
2017,4,1,3,25.0%,2-5,28.6%,36-41,46.8%,0-2,0.0%,4,81.6%,12.8%,11.1%,4.7%,58.3%,78.8%,52.0%,67.7%,32.3%,48.9%,1.00,R16 (Bratislava)
2015,12,8,4,66.7%,17-10,63.0%,148-132,52.9%,5-3,62.5%,12,83.0%,22.6%,7.4%,4.4%,54.3%,74.6%,55.7%,66.0%,39.4%,51.8%,1.16,F (Happy Valley)
2014,24,22,2,91.7%,45-4,91.8%,293-179,62.1%,6-0,100.0%,24,89.5%,32.4%,11.8%,4.0%,55.3%,81.7%,56.0%,70.2%,42.1%,55.5%,1.41,W (4x)
2013,1,0,1,0.0%,0-1,0.0%,5-7,41.7%,0-0,-,1,75.0%,0.0%,6.8%,3.4%,66.1%,61.5%,50.0%,57.6%,28.8%,44.1%,0.68,R32 (Dallas2)
2009,16,15,1,93.8%,28-5,84.8%,187-128,59.4%,4-0,100.0%,0,,,,,,,,,,,,W (3x)
2008,6,4,2,66.7%,8-3,72.7%,58-38,60.4%,0-1,0.0%,0,,,,,,,,,,,,SF (Orleans)
2005,23,15,8,65.2%,34-22,60.7%,284-252,53.0%,3-2,60.0%,0,,,,,,,,,,,,W (Cordoba)
2004,28,18,10,64.3%,41-23,64.1%,342-269,56.0%,6-4,60.0%,0,,,,,,,,,,,,W (2x)
2003,15,11,4,73.3%,24-11,68.6%,203-148,57.8%,2-3,40.0%,0,,,,,,,,,,,,F (Bukhara)
Career,151,108,43,71.5%,231-104,69.0%,1815-1416,56.2%,28-17,62.2%,63,83.7%,27.1%,10.7%,4.0%,56.2%,76.8%,54.0%,66.8%,39.9%,52.8%,1.20,
