Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2019 Wimbledon R64,L vs Berrettini,3.6%,66.7%,11.7%,78.9%,16.7%,19.0%,0.0%,2.8%,0.0%,3.0%,60.0%,29,11
2019 Wimbledon R128,W vs Schnur,2.6%,100.0%,6.7%,58.3%,14.6%,16.7%,25.0%,11.4%,23.5%,2.1%,66.7%,-60,-27
2019 Dubai R16,L vs Monfils,0.0%,-,6.0%,50.0%,7.5%,15.8%,0.0%,0.0%,0.0%,0.6%,0.0%,-23,-27
2018 Indian Wells R128,W vs Nishioka,1.3%,0.0%,7.9%,46.7%,15.3%,11.4%,19.5%,5.1%,7.4%,0.9%,25.0%,-65,-27
2017 Chengdu F,L vs Istomin,0.0%,-,9.4%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,-109,-37
2017 Madrid R64,L vs Kyrgios,0.0%,-,7.4%,77.8%,13.6%,0.0%,0.0%,8.0%,33.3%,0.7%,0.0%,-80,-65
2016 Tokyo R16,L vs Muller,37.5%,66.7%,22.2%,75.0%,10.7%,40.0%,16.7%,20.0%,33.3%,1.0%,0.0%,45,41
2016 Dubai F,L vs Wawrinka,10.8%,75.0%,13.6%,71.4%,6.7%,4.5%,0.0%,11.6%,37.5%,0.4%,0.0%,-66,-43
2015 Stockholm QF,W vs Muller,1.0%,100.0%,10.0%,61.9%,16.9%,35.7%,45.5%,7.4%,5.6%,2.9%,22.2%,-32,-20
2015 Stockholm R32,W vs Querrey,0.0%,-,10.5%,61.5%,10.3%,16.7%,50.0%,17.1%,50.0%,2.4%,25.0%,4,48
2015 Atlanta F,L vs Isner,9.4%,60.0%,9.7%,55.6%,15.6%,0.0%,0.0%,20.8%,66.7%,3.7%,33.3%,23,-6
2015 Nottingham R16,W vs Zverev,14.6%,83.3%,11.2%,81.8%,15.2%,18.2%,0.0%,19.2%,44.4%,2.4%,33.3%,-59,-41
2015 Geneva R32,L vs Bellucci,0.0%,-,3.5%,100.0%,10.2%,26.7%,14.3%,0.9%,0.0%,3.9%,33.3%,-17,-3
2015 Zagreb SF,L vs Garcia Lopez,5.2%,100.0%,11.4%,66.7%,3.3%,2.9%,0.0%,5.7%,35.7%,2.4%,37.5%,-81,-52
2014 Geneva CH SF,W vs Albot,0.0%,-,7.8%,66.7%,7.1%,12.9%,0.0%,4.5%,30.0%,1.6%,20.0%,-94,-84
2013 US Open R64,W vs Anderson,0.0%,-,2.2%,66.7%,24.2%,25.0%,0.0%,12.9%,60.0%,0.7%,100.0%,79,107
2013 Brisbane R16,W vs Mayer,0.0%,-,1.7%,100.0%,18.0%,0.0%,0.0%,16.7%,0.0%,1.6%,66.7%,36,95
2013 Brisbane R32,W vs Mitchell,0.0%,-,8.6%,70.0%,14.5%,27.3%,0.0%,6.3%,20.0%,1.6%,0.0%,-8,3
2012 Olympics R16,L vs Murray,1.1%,0.0%,18.5%,65.6%,12.1%,18.9%,9.1%,4.9%,4.8%,2.0%,50.0%,-23,-22
2012 Miami R64,L vs Djokovic,0.0%,-,11.4%,69.2%,6.6%,3.7%,0.0%,5.0%,28.6%,0.4%,0.0%,-130,-89
Career (35 matches),,2.1%,68.3%,8.7%,68.4%,12.4%,16.9%,12.0%,7.0%,19.5%,1.8%,35.6%,-45,-28
