Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,15,Hard,44,29,15,65.9%,20,13,7,65.0%,2005,2019,F,41,1.06,9.3%,3.0%,53.8%,72.7%,50.6%,62.5%,39.7%,61.4%,39.7%
Roland Garros,14,Clay,26,12,14,46.2%,10,5,5,50.0%,2004,2018,R16,23,1.01,5.5%,3.2%,50.6%,70.9%,53.4%,62.3%,38.1%,62.1%,43.5%
Wimbledon,15,Grass,37,22,15,59.5%,23,10,13,43.5%,2004,2019,SF,36,1.06,8.8%,3.4%,56.3%,76.0%,51.7%,65.3%,36.7%,58.4%,41.6%
US Open,14,Hard,26,12,14,46.2%,17,9,8,52.9%,2003,2018,R16,22,0.99,9.5%,5.1%,48.9%,75.9%,51.0%,63.1%,36.4%,56.2%,41.5%
Olympics,2,,5,3,2,60.0%,3,2,1,66.7%,2004,2012,R16,3,0.93,12.1%,5.9%,58.2%,73.6%,49.1%,63.4%,34.2%,60.0%,42.1%
Davis Cup,8,,23,23,0,100.0%,3,2,1,66.7%,2006,2013,,0,,,,,,,,,,
Miami Masters,10,Hard,17,7,10,41.2%,3,2,1,66.7%,2006,2018,R32,17,1.01,9.0%,5.2%,50.5%,73.0%,51.5%,62.4%,37.9%,43.7%,39.8%
Indian Wells Masters,9,Hard,23,14,9,60.9%,7,5,2,71.4%,2006,2018,QF,22,1.07,8.5%,3.8%,54.6%,71.7%,49.9%,61.8%,40.8%,56.2%,40.6%
Cincinnati Masters,9,Hard,20,11,9,55.0%,8,6,2,75.0%,2006,2018,SF,19,1.06,8.0%,4.8%,47.9%,77.5%,52.0%,64.2%,37.8%,57.4%,38.5%
Dubai,9,Hard,19,10,9,52.6%,9,5,4,55.6%,2007,2019,F,19,1.05,9.2%,6.4%,50.1%,79.0%,47.7%,63.4%,38.5%,63.0%,37.7%
Madrid Masters,8,Clay,11,3,8,27.3%,2,1,1,50.0%,2006,2017,R32,11,0.87,8.1%,3.0%,55.1%,72.7%,47.0%,61.1%,33.8%,59.7%,29.2%
Stockholm,7,Hard,18,12,6,66.7%,6,5,1,83.3%,2009,2017,W,17,1.14,12.2%,3.9%,55.2%,77.3%,51.4%,65.7%,39.2%,65.9%,48.5%
