Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2023,2,1,1,50.0%,3-3,50.0%,29-33,46.8%,2-0,100.0%,2,75.9%,16.1%,9.6%,1.5%,54.5%,71.3%,52.2%,62.6%,35.4%,49.0%,0.95,R16 (Adelaide 2)
2022,2,1,1,50.0%,2-2,50.0%,17-15,53.1%,0-0,-,2,81.3%,25.0%,7.9%,4.4%,57.0%,76.9%,38.8%,60.5%,35.2%,49.5%,0.89,
2021,5,2,3,40.0%,6-7,46.2%,64-63,50.4%,0-2,0.0%,5,80.6%,22.2%,10.2%,3.5%,59.9%,71.3%,55.0%,64.8%,36.7%,50.3%,1.04,
2020,3,1,2,33.3%,3-5,37.5%,41-43,48.8%,0-3,0.0%,3,82.9%,15.0%,8.6%,3.2%,59.1%,74.5%,48.2%,63.8%,32.4%,48.6%,0.90,
2019,32,15,17,46.9%,37-45,45.1%,394-425,48.1%,7-9,43.8%,32,79.4%,17.8%,8.5%,4.3%,56.2%,74.0%,49.5%,63.3%,35.0%,49.1%,0.95,R16 (5x)
2018,56,24,32,42.9%,73-86,45.9%,801-834,49.0%,18-17,51.4%,56,77.8%,20.1%,8.4%,3.3%,59.1%,72.3%,48.8%,62.7%,35.0%,49.1%,0.94,SF (2x)
2017,58,28,30,48.3%,78-76,50.6%,762-752,50.3%,10-14,41.7%,58,78.5%,22.6%,9.8%,4.0%,59.2%,73.8%,50.2%,64.2%,37.2%,50.4%,1.04,SF (3x)
2016,36,14,22,38.9%,37-53,41.1%,433-477,47.6%,9-10,47.4%,36,77.7%,17.9%,8.6%,3.1%,58.9%,72.8%,49.7%,63.3%,35.4%,49.1%,0.96,F (Gstaad)
2015,36,15,21,41.7%,42-57,42.4%,450-508,47.0%,7-7,50.0%,34,76.2%,18.5%,6.4%,3.2%,59.5%,69.4%,50.7%,61.8%,34.1%,48.1%,0.89,SF (s Hertogenbosch)
2014,40,18,22,45.0%,50-59,45.9%,523-536,49.4%,3-13,18.8%,37,78.1%,19.5%,6.6%,3.0%,60.4%,70.3%,49.5%,62.1%,35.5%,49.0%,0.94,SF (2x)
2013,55,29,26,52.7%,71-75,48.6%,731-717,50.5%,10-14,41.7%,53,80.0%,20.3%,7.1%,3.3%,61.8%,71.5%,48.9%,62.9%,35.9%,49.8%,0.97,F (2x)
2012,49,20,29,40.8%,51-69,42.5%,555-577,49.0%,1-10,9.1%,44,75.2%,22.2%,7.9%,3.4%,59.1%,72.0%,46.5%,61.6%,36.7%,49.0%,0.96,W (Kitzbuhel)
2011,53,27,26,50.9%,79-69,53.4%,742-717,50.9%,11-18,37.9%,49,76.9%,26.2%,8.5%,3.2%,59.8%,69.8%,49.9%,61.8%,39.0%,50.5%,1.02,W (Kitzbuhel)
2010,21,9,12,42.9%,26-32,44.8%,291-305,48.8%,5-9,35.7%,17,78.7%,16.3%,8.2%,3.8%,59.0%,74.8%,49.7%,64.5%,34.2%,49.3%,0.96,QF (Basel)
2008,24,12,12,50.0%,33-31,51.6%,317-310,50.6%,6-6,50.0%,22,77.5%,20.4%,7.8%,3.3%,59.6%,71.4%,50.9%,63.1%,36.0%,49.4%,0.98,QF (3x)
2007,28,15,13,53.6%,34-37,47.9%,349-354,49.6%,4-6,40.0%,24,80.6%,16.8%,7.3%,3.3%,59.1%,71.7%,50.3%,62.9%,33.7%,49.0%,0.91,SF (Amersfoort)
2006,4,1,3,25.0%,4-7,36.4%,47-57,45.2%,0-0,-,2,64.3%,25.0%,4.6%,3.6%,53.8%,65.1%,47.3%,56.9%,37.3%,47.4%,0.86,
Career,504,232,272,46.0%,629-713,46.9%,6546-6723,49.3%,93-138,40.3%,476,78.0%,20.5%,8.1%,3.4%,59.4%,71.9%,49.5%,62.8%,35.9%,49.4%,0.96,
