Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2019 Wimbledon R64,L vs Raonic,113.8,118.9,6.4,122.3,115.2,129,99,101.3,5.2,102.8,98.0,111,91
2019 Roland Garros R128,L vs Kohlschreiber,103.8,114.6,10.2,,,126,68,94.0,5.5,,,102,71
2018 US Open R64,L vs Goffin,106.6,114.6,7.9,119.5,108.9,125,90,96.0,3.8,97.1,96.1,103,87
2018 Wimbledon R64,L vs Kyrgios,111.8,117.4,5.3,120.4,114.0,127,106,101.0,3.9,107.3,95.0,109,95
2017 US Open R128,L vs Edmund,109.0,114.9,5.9,118.3,112.3,125,102,95.5,4.3,99.3,93.8,105,87
2017 Roland Garros R64,L vs Nadal,109.8,116.2,4.9,118.3,113.9,125,100,96.9,3.7,100.5,95.8,106,91
2017 Roland Garros R128,W vs De Minaur,107.5,116.3,4.1,,,124,106,94.9,5.8,,,106,84
2017 Australian Open R128,L vs Zverev,110.3,116.7,6.4,121.0,112.9,126,98,99.6,4.5,107.0,102.0,110,88
2016 US Open R128,L vs Duckworth,107.0,114.4,5.6,,,128,91,95.2,5.0,,,110,87
2016 Roland Garros R128,L vs Sock,105.8,111.8,6.5,,,122,88,91.1,5.9,,,102,78
2015 US Open R64,L vs Gasquet,106.3,117.5,5.3,,,127,102,92.8,4.8,,,103,82
2015 Wimbledon R64,L vs Murray,109.9,114.7,9.7,,,124,61,100.2,3.7,,,109,91
2015 Roland Garros R128,L vs Cilic,108.8,114.1,9.0,,,122,84,95.5,3.8,,,101,87
2015 Australian Open R128,L vs Simon,103.3,110.5,5.6,,,120,88,91.7,4.6,,,100,78
2014 US Open R128,L vs Murray,106.4,112.8,7.3,,,126,86,95.4,4.1,,,103,86
2014 Roland Garros R64,L vs Klizan,105.0,115.7,5.9,,,128,101,92.1,4.3,,,106,83
2013 Wimbledon R128,L vs Youzhny,109.6,,,,,126,,,,,,,76
2013 Australian Open R128,L vs Murray,105.8,,,,,125,,,,,,,85
2012 Wimbledon R128,L vs Del Potro,109.8,,,,,127,,,,,,,82
2012 Roland Garros R128,W vs Dodig,103.9,,,,,126,,,,,,,62
Career (26 matches),,107.7,115.3,6.8,120.2,113.1,129,61,94.8,5.1,101.4,96.6,111,62
