Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,13,Hard,18,5,13,27.8%,11,5,6,45.5%,2008,2022,R32,18,0.86,8.3%,4.1%,58.7%,70.3%,46.8%,60.6%,34.0%,52.4%,39.1%
Roland Garros,13,Clay,19,6,13,31.6%,10,5,5,50.0%,2008,2021,R64,19,0.94,5.8%,2.5%,60.7%,69.1%,48.4%,61.0%,36.8%,54.7%,34.3%
Wimbledon,12,Grass,21,9,12,42.9%,14,8,6,57.1%,2008,2021,R32,21,0.91,11.4%,3.0%,62.6%,73.3%,49.3%,64.3%,32.5%,67.0%,40.4%
US Open,11,Hard,15,4,11,26.7%,8,2,6,25.0%,2007,2021,R64,15,0.91,9.6%,4.6%,58.0%,72.2%,47.9%,62.0%,34.7%,53.6%,34.5%
Olympics,3,,3,0,3,0.0%,0,0,0,-,2012,2024,R64,3,0.73,10.4%,4.4%,63.2%,62.6%,44.8%,56.0%,32.2%,52.2%,20.0%
Davis Cup,16,,45,30,15,66.7%,24,10,14,41.7%,2006,2022,,17,1.03,9.5%,3.5%,59.6%,75.5%,49.9%,65.1%,35.9%,60.7%,36.0%
s Hertogenbosch,15,Grass,24,9,15,37.5%,14,5,9,35.7%,2006,2024,SF,24,0.94,10.0%,4.1%,61.0%,74.5%,53.2%,66.2%,31.7%,69.0%,30.4%
Winston-Salem,7,Hard,16,9,7,56.3%,6,2,4,33.3%,2011,2023,SF,16,1.05,9.2%,5.1%,54.9%,73.0%,54.3%,64.6%,37.0%,66.3%,41.7%
Munich,2,Clay,2,0,2,0.0%,0,0,0,-,2011,2023,R32,2,0.81,6.3%,2.1%,63.7%,60.3%,43.5%,54.2%,36.9%,59.3%,40.0%
Estoril,5,Clay,13,8,5,61.5%,2,1,1,50.0%,2012,2023,QF,13,1.08,2.8%,2.4%,61.6%,69.5%,52.7%,63.0%,40.0%,62.9%,41.7%
Sofia,5,Hard,7,2,5,28.6%,2,0,2,0.0%,2016,2022,R16,7,0.96,6.9%,4.5%,56.3%,73.5%,52.5%,64.3%,34.1%,39.3%,39.0%
Rotterdam,14,Hard,20,6,14,30.0%,11,3,8,27.3%,2007,2022,QF,20,0.93,9.3%,3.1%,61.4%,71.4%,50.2%,63.2%,34.1%,65.7%,33.0%
