Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2024 Olympics R64,L vs Ofner,37.3%,47.8%,31.6%,40.4%,52.6%,60.5%,27.8%,58.2%,40.0%,27.8%,0.0%,20.0%,36.0%,35.0%,72
2022 Shymkent CH F,L vs Fomin,15.3%,33.3%,61.1%,22.5%,23.8%,42.9%,65.6%,36.2%,38.1%,38.1%,100.0%,4.3%,26.1%,54.5%,-81
2022 Davis Cup Qualifiers RR,W vs Diez,23.9%,41.3%,63.6%,32.2%,36.0%,52.0%,68.8%,51.2%,40.0%,53.3%,-,10.5%,31.6%,58.8%,-13
2022 Australian Open Q1,L vs Martin,25.9%,37.6%,56.9%,30.7%,32.6%,48.8%,62.1%,42.1%,47.1%,57.7%,100.0%,21.6%,29.7%,51.7%,91
2021 Roland Garros Q1,L vs Olivo,25.0%,35.0%,38.6%,30.7%,31.1%,45.9%,40.5%,40.5%,36.0%,58.3%,100.0%,17.6%,20.6%,35.7%,51
2021 Rotterdam R32,L vs Murray,26.3%,32.6%,51.5%,30.8%,35.6%,44.1%,57.9%,42.9%,57.7%,63.6%,75.0%,12.5%,15.6%,42.9%,4
2021 Australian Open R128,L vs Krajinovic,33.0%,39.6%,51.5%,40.5%,40.6%,48.4%,50.0%,53.0%,38.7%,48.5%,100.0%,23.1%,28.2%,53.3%,29
2020 Davis Cup Qualifiers RR,L vs Bublik,18.3%,28.2%,51.8%,24.9%,23.4%,38.3%,61.1%,33.4%,31.8%,32.0%,25.0%,9.1%,9.1%,35.0%,-26
2020 Davis Cup Qualifiers RR,W vs Kukushkin,33.3%,42.7%,50.8%,39.4%,50.9%,65.5%,51.9%,61.5%,16.7%,41.9%,-,10.5%,13.2%,50.0%,-11
2020 Rotterdam R32,L vs Goffin,31.3%,38.4%,52.1%,36.6%,42.9%,52.4%,58.3%,52.4%,34.6%,43.2%,50.0%,17.8%,22.2%,45.9%,45
2020 Bangkok CH F,L vs Gaio,15.8%,35.6%,51.9%,24.2%,23.0%,42.6%,51.1%,36.7%,30.0%,51.6%,66.7%,5.6%,27.8%,52.9%,-63
2019 Davis Cup Finals RR,W vs Evans,27.8%,40.0%,50.6%,33.5%,40.3%,50.7%,47.5%,50.0%,42.4%,50.0%,100.0%,10.9%,26.1%,53.7%,-16
2019 Davis Cup Finals RR,W vs Bublik,30.8%,44.0%,70.0%,43.6%,34.0%,50.9%,80.0%,56.0%,50.0%,41.9%,100.0%,28.6%,37.1%,56.0%,40
2019 Hamburg CH R32,L vs Sels,27.4%,40.3%,49.4%,35.0%,27.4%,46.6%,52.8%,40.3%,41.9%,61.9%,80.0%,31.8%,36.4%,43.3%,75
2019 Ismaning CH R32,L vs Haerteis,40.9%,51.8%,50.0%,46.2%,56.1%,68.2%,62.1%,64.8%,70.8%,50.0%,57.1%,20.5%,30.8%,38.7%,82
2019 Florence CH R16,W vs Munar,7.1%,25.9%,60.6%,18.8%,4.5%,36.4%,69.0%,27.3%,42.9%,91.3%,100.0%,12.1%,18.2%,48.3%,-11
2019 Sibiu CH R32,L vs Petrovic,26.4%,39.6%,42.1%,30.6%,37.0%,44.4%,47.1%,45.2%,33.3%,40.0%,50.0%,16.0%,36.0%,38.1%,-21
2019 US Open R128,L vs Schwartzman,22.8%,35.9%,44.8%,29.6%,28.0%,48.0%,52.8%,40.4%,38.9%,75.0%,66.7%,18.4%,23.7%,35.5%,65
2019 Winston Salem R32,W vs Sousa,33.8%,42.5%,69.6%,39.1%,54.3%,68.6%,75.0%,66.6%,60.0%,50.0%,100.0%,21.1%,26.3%,66.7%,77
2019 Winston Salem R64,W vs Kudla,37.5%,45.8%,60.0%,40.3%,68.4%,78.9%,50.0%,73.7%,56.3%,54.5%,-,3.4%,10.3%,64.3%,-86
Career (56 matches),,28.4%,39.5%,51.3%,34.5%,38.3%,51.6%,55.2%,48.8%,45.4%,51.8%,64.9%,16.5%,25.5%,46.8%,45
