Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-05-20),932,22,,,,,,,,,,,,
2023,856,29,,,,,,,,,,,,
2022,1174,7,,,,,,,,,,,,
2021,406,139,,,,,,,,,,,,
2020,305,195,,,,,,,,,342,225,,
2019,299,190,,,,,,,,,312,236,,
2018,395,84,,,,,,,,,444,106,,
2017,377,108,,,,,,,,,474,100,,
2016,427,79,,,,,,,,,681,45,,
2015,256,177,,,,,,,,,426,106,,
2014,376,86,,,,,,,,,447,90,,
2013,467,78,,,,,,,,,456,112,,
2012,835,18,,,,,,,,,,,,
2011,437,88,,,,,,,,,,,,
2010,386,106,,,,,,,,,755,29,,
2009,774,21,,,,,,,,,,,,
2008,799,12,,,,,,,,,,,,
