Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
1999,580,35,,,,,,,,,570,61,,
1998,305,117,,,,,,,,,723,34,,
1997,106,459,56,1810,47,1781,46,1796,46,1682,386,126,,
1996,33,1183,23,1926,26,1859,32,1859,26,1773,396,114,,
1995,14,,15,1981,16,1899,14,1917,12,1866,144,465,,
1994,53,,37,1871,39,1816,44,1803,18,1826,195,307,,
1993,20,,14,2017,13,1969,31,1858,8,1926,127,528,,
1992,27,,16,1989,19,1911,32,1839,16,1837,175,324,,
1991,54,,46,1851,69,1735,66,1761,36,1726,191,257,,
1990,176,,,,,,,,,,282,111,,
1989,212,,,,,,,,,,153,,,
1988,275,,,,,,,,,,277,,,
1987,435,,,,,,,,,,220,,,
1986,465,,,,,,,,,,314,,,
1985,794,,,,,,,,,,,,,
