Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
1999,3,1,2,33.3%,3-5,37.5%,34-33,50.7%,0-0,-,3,64.7%,39.4%,5.9%,5.4%,50.5%,65.7%,48.0%,56.9%,44.2%,50.4%,1.03,R32 (Casablanca)
1998,9,2,7,22.2%,7-14,33.3%,97-111,46.6%,0-4,0.0%,9,74.3%,20.2%,2.1%,7.2%,49.4%,72.4%,48.0%,60.1%,36.6%,48.6%,0.92,QF (Marseille)
1997,37,14,23,37.8%,36-54,40.0%,412-450,47.8%,5-9,35.7%,34,71.0%,25.5%,2.4%,4.7%,57.0%,66.4%,46.9%,58.0%,40.1%,49.1%,0.96,QF (Milan)
1996,59,31,28,52.5%,80-73,52.3%,771-768,50.1%,18-14,56.3%,52,76.9%,23.7%,5.9%,4.0%,53.8%,71.8%,51.3%,62.3%,38.2%,50.3%,1.01,F (Lyon)
1995,79,46,33,58.2%,104-89,53.9%,980-925,51.4%,18-13,58.1%,77,76.3%,26.2%,5.8%,4.4%,54.9%,71.6%,50.2%,62.0%,39.6%,50.6%,1.04,W (Toulouse)
1994,54,28,26,51.9%,65-58,52.8%,621-578,51.8%,11-14,44.0%,46,78.7%,23.8%,5.6%,3.4%,56.6%,72.2%,51.0%,63.0%,38.5%,50.7%,1.04,F (2x)
1993,72,46,26,63.9%,112-76,59.6%,968-828,53.9%,12-10,54.5%,65,80.6%,27.3%,5.8%,4.1%,58.8%,72.9%,50.9%,63.8%,40.3%,51.9%,1.11,W (2x)
1992,61,35,26,57.4%,85-66,56.3%,779-691,53.0%,12-11,52.2%,58,81.1%,25.0%,6.4%,3.8%,58.9%,73.2%,51.6%,64.3%,38.6%,51.2%,1.08,F (Bolzano)
1991,40,22,18,55.0%,56-45,55.4%,495-451,52.3%,6-7,46.2%,38,73.8%,28.8%,3.7%,4.3%,61.7%,67.2%,50.7%,60.9%,40.5%,50.7%,1.04,F (Berlin)
1990,6,2,4,33.3%,6-9,40.0%,65-65,50.0%,0-0,-,0,,,,,,,,,,,,R32 (3x)
1989,9,3,6,33.3%,9-14,39.1%,91-111,45.0%,0-1,0.0%,0,,,,,,,,,,,,R16 (Nancy)
1988,4,1,3,25.0%,3-8,27.3%,36-58,38.3%,1-0,100.0%,0,,,,,,,,,,,,R32 (2x)
1987,4,1,3,25.0%,2-6,25.0%,29-44,39.7%,0-1,0.0%,0,,,,,,,,,,,,R16 (Lyon)
Career,437,232,205,53.1%,568-517,52.4%,5378-5113,51.3%,83-84,49.7%,382,77.3%,25.7%,5.3%,4.2%,56.9%,71.2%,50.5%,62.3%,39.4%,50.7%,1.04,
