Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
1996 Miami SF,L vs Agassi,20.9%,25.4%,30.2%,22.4%,32.1%,39.3%,47.4%,35.7%,21.4%,21.4%,0.0%,12.8%,15.4%,20.6%,-79
1996 Miami R16,W vs Edberg,21.4%,28.6%,51.5%,24.9%,26.5%,30.6%,58.3%,33.5%,64.7%,28.1%,40.0%,20.0%,32.5%,43.8%,59
1995 Essen SF,L vs Washington,21.7%,39.1%,58.8%,30.9%,29.6%,51.9%,68.4%,45.2%,60.0%,41.2%,0.0%,11.8%,23.5%,46.7%,-2
1993 Paris SF,L vs Medvedev,23.5%,35.7%,55.6%,31.2%,28.3%,43.4%,55.3%,42.6%,46.2%,11.1%,0.0%,19.0%,28.6%,55.9%,22
1991 Roland Garros R16,L vs Davin,15.4%,25.6%,48.7%,21.2%,21.9%,37.5%,48.0%,32.5%,36.7%,47.1%,50.0%,13.3%,20.0%,50.0%,4
Career (5 matches),,20.2%,30.0%,48.8%,25.6%,26.7%,39.4%,54.3%,37.1%,44.3%,30.6%,27.8%,16.1%,24.4%,42.6%,44
