Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2017 Stuttgart R16,W vs Federer,35.5%,42.1%,46.8%,41.7%,39.4%,48.5%,50.0%,49.4%,48.0%,85.4%,100.0%,35.3%,38.2%,40.9%,180
2017 Stuttgart R32,W vs Herbert,45.6%,62.2%,51.1%,53.6%,47.6%,66.7%,51.5%,59.0%,60.0%,57.6%,0.0%,47.8%,60.9%,50.0%,145
2015 Stuttgart R16,L vs Tomic,28.6%,38.6%,48.9%,35.6%,37.2%,48.8%,51.9%,48.6%,52.4%,63.6%,50.0%,18.2%,27.3%,44.4%,45
2014 Rome R16,W vs Wawrinka,24.7%,35.8%,60.0%,35.6%,33.3%,48.1%,63.9%,49.6%,43.5%,51.6%,100.0%,7.7%,11.5%,54.2%,-79
2014 Munich SF,L vs Klizan,23.0%,27.9%,30.4%,26.4%,22.7%,29.5%,29.4%,27.5%,66.7%,43.5%,100.0%,25.0%,25.0%,33.3%,10
2014 Indian Wells R16,L vs Federer,26.1%,34.8%,47.9%,29.0%,33.3%,42.2%,53.3%,37.8%,27.3%,21.7%,28.6%,14.3%,23.8%,38.9%,19
2014 Zagreb F,L vs Cilic,21.4%,33.9%,47.7%,27.0%,24.3%,37.8%,42.9%,32.7%,28.6%,60.9%,40.0%,15.8%,26.3%,56.3%,-79
2014 Auckland R16,L vs Sock,26.3%,40.4%,53.8%,31.6%,25.8%,45.2%,60.9%,35.5%,15.4%,44.4%,33.3%,30.4%,39.1%,43.8%,-16
2013 Munich F,W vs Kohlschreiber,35.3%,48.5%,58.1%,43.1%,48.7%,66.7%,75.0%,62.3%,50.0%,42.9%,-,17.9%,25.0%,43.5%,-27
2013 Munich SF,W vs Dodig,31.3%,41.8%,53.3%,36.9%,43.2%,56.8%,57.1%,53.2%,65.0%,29.4%,50.0%,17.2%,24.1%,50.0%,-29
2013 Miami SF,L vs Ferrer,26.2%,33.3%,41.1%,30.0%,33.3%,44.4%,45.8%,42.2%,73.3%,28.6%,50.0%,23.8%,28.6%,37.5%,110
2013 Miami R16,W vs Djokovic,25.6%,37.2%,65.6%,31.4%,28.0%,48.0%,66.7%,38.0%,69.2%,33.3%,-,22.2%,22.2%,64.3%,-79
2013 Indian Wells R16,L vs Del Potro,16.7%,22.9%,38.2%,21.3%,29.2%,37.5%,47.1%,38.3%,64.3%,30.0%,33.3%,5.6%,11.1%,29.4%,-72
2012 Washington F,L vs Dolgopolov,39.2%,44.1%,43.1%,43.4%,50.0%,57.6%,45.5%,56.5%,54.8%,51.4%,50.0%,28.0%,28.0%,38.9%,96
2012 Hamburg F,L vs Monaco,15.1%,31.5%,47.5%,24.4%,21.7%,43.5%,55.6%,36.5%,45.8%,63.6%,50.0%,3.8%,11.5%,36.0%,-77
2012 Halle F,W vs Federer,40.0%,48.6%,53.8%,43.7%,53.5%,62.8%,45.0%,59.5%,52.0%,38.9%,50.0%,20.8%,29.2%,63.2%,86
2009 Wimbledon SF,L vs Federer,34.5%,47.3%,47.8%,41.0%,39.7%,57.5%,54.5%,49.5%,23.5%,38.5%,33.3%,28.1%,31.3%,34.8%,126
2009 Wimbledon QF,W vs Djokovic,47.6%,59.7%,52.6%,53.1%,55.8%,67.5%,55.9%,64.8%,33.3%,46.3%,-,41.0%,56.4%,47.8%,151
2009 Halle F,W vs Djokovic,35.9%,47.6%,57.9%,42.7%,46.4%,60.7%,63.3%,58.9%,56.5%,54.5%,100.0%,28.9%,39.5%,51.9%,127
2009 Roland Garros R16,L vs Federer,32.4%,40.0%,46.3%,37.6%,39.1%,48.9%,46.4%,47.3%,36.6%,29.4%,62.5%,22.0%,26.0%,46.2%,7
Career (51 matches),,28.9%,38.9%,48.8%,34.8%,37.1%,49.7%,51.7%,47.0%,42.6%,49.3%,55.3%,19.7%,26.6%,45.1%,72
