Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2017 Stuttgart R16,W vs Federer,2.1%,50.0%,6.0%,83.3%,12.3%,12.0%,0.0%,21.2%,23.1%,0.5%,100.0%,40,48
2017 Stuttgart R32,W vs Herbert,14.6%,58.3%,10.6%,68.4%,33.3%,35.7%,0.0%,18.8%,25.0%,0.0%,-,137,165
2015 Stuttgart R16,L vs Tomic,6.0%,50.0%,12.9%,50.0%,11.8%,8.3%,20.0%,5.4%,16.7%,3.5%,60.0%,18,28
2014 Rome R16,W vs Wawrinka,1.4%,100.0%,9.2%,87.5%,13.5%,24.1%,0.0%,12.5%,25.0%,3.8%,40.0%,-56,-33
2014 Munich SF,L vs Klizan,0.0%,-,5.6%,66.7%,3.9%,13.6%,0.0%,5.9%,20.0%,2.7%,0.0%,-28,-25
2014 Indian Wells R16,L vs Federer,0.0%,-,3.8%,60.0%,11.1%,20.7%,0.0%,4.5%,7.7%,1.3%,66.7%,-5,5
2014 Zagreb F,L vs Cilic,3.7%,0.0%,8.6%,50.0%,9.6%,11.8%,0.0%,15.4%,35.7%,1.0%,50.0%,2,-1
2014 Auckland R16,L vs Sock,0.0%,-,6.1%,71.4%,15.6%,8.3%,0.0%,6.1%,28.6%,1.3%,50.0%,-4,-13
2013 Munich F,W vs Kohlschreiber,1.6%,100.0%,10.5%,78.6%,13.9%,27.8%,50.0%,9.3%,50.0%,1.8%,75.0%,-50,-15
2013 Munich SF,W vs Dodig,0.0%,-,7.2%,80.0%,10.1%,8.7%,0.0%,8.6%,33.3%,1.5%,50.0%,-34,-12
2013 Miami SF,L vs Ferrer,2.4%,50.0%,14.4%,70.8%,7.1%,8.0%,0.0%,8.0%,37.5%,0.6%,50.0%,-34,-12
2013 Miami R16,W vs Djokovic,0.0%,-,8.1%,66.7%,5.9%,30.4%,0.0%,7.3%,20.0%,1.3%,0.0%,-91,-94
2013 Indian Wells R16,L vs Del Potro,0.0%,-,3.3%,100.0%,6.5%,7.9%,0.0%,5.4%,13.3%,0.4%,0.0%,-19,-4
2012 Washington F,L vs Dolgopolov,0.0%,-,8.0%,56.3%,11.4%,7.1%,0.0%,4.7%,6.3%,0.4%,100.0%,-15,79
2012 Hamburg F,L vs Monaco,1.4%,0.0%,14.9%,59.1%,12.8%,6.9%,0.0%,4.1%,17.4%,3.0%,36.4%,4,-10
2012 Halle F,W vs Federer,1.6%,100.0%,9.1%,71.4%,9.5%,12.5%,50.0%,18.2%,38.5%,1.0%,50.0%,-48,8
2009 Wimbledon SF,L vs Federer,19.2%,57.9%,18.7%,52.8%,16.5%,26.1%,16.7%,7.2%,30.0%,0.4%,0.0%,0,36
2009 Wimbledon QF,W vs Djokovic,52.3%,71.4%,27.8%,73.9%,7.9%,16.7%,0.0%,22.5%,50.0%,0.8%,0.0%,38,104
2009 Halle F,W vs Djokovic,11.8%,72.7%,18.0%,70.6%,17.9%,19.2%,0.0%,13.8%,41.7%,1.1%,0.0%,54,85
2009 Roland Garros R16,L vs Federer,0.0%,-,8.0%,54.5%,12.2%,15.4%,33.3%,12.0%,41.2%,1.6%,16.7%,-40,-17
Career (51 matches),,6.8%,61.5%,12.0%,65.7%,12.8%,16.9%,10.1%,10.2%,27.1%,1.3%,28.5%,-18,2
