Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2022-12-12),1183,7,,,,,,,,,1202,13,,
2020,437,101,,,,,,,,,710,57,,
2019,412,107,,,,,,,,,657,59,,
2018,399,83,,,,,,,,,587,44,,
2018,399,83,,,,,,,,,587,44,,
2017,487,66,,,,,,,,,550,74,,
2016,540,51,,,,,,,,,498,88,,
2015,350,108,,,,,,,,,213,306,,
2014,232,202,248,1396,261,1314,195,1417,,,203,286,,
2013,258,229,202,1521,,,166,1505,,,523,84,,
2012,546,50,,,,,,,,,,,,
2011,251,223,227,1433,270,1316,192,1435,,,850,24,,
2010,640,36,,,,,,,,,,,,
2009,1099,3,,,,,,,,,,,,
2008,905,8,,,,,,,,,,,,
