Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Cincinnati R16,L vs Alcaraz,16.7%,27.3%,51.1%,20.5%,18.4%,31.6%,54.8%,25.0%,45.0%,27.8%,33.3%,20.0%,30.0%,43.8%,39
2025 Wimbledon R128,L vs Sinner,19.3%,28.4%,42.4%,25.9%,18.8%,35.4%,48.7%,30.8%,31.6%,55.2%,44.4%,22.9%,22.9%,33.3%,102
2025 Doha R16,L vs Alcaraz,24.7%,35.3%,48.3%,32.1%,28.3%,45.3%,52.6%,40.2%,50.0%,48.1%,50.0%,23.1%,23.1%,40.0%,88
2024 Helsinki CH F,L vs Nishikori,22.0%,35.2%,40.0%,28.7%,27.5%,49.0%,51.4%,39.4%,44.0%,34.6%,60.0%,15.4%,17.9%,27.3%,-41
2024 Indian Wells R32,W vs Djokovic,26.7%,37.8%,55.9%,33.7%,32.8%,46.9%,53.5%,42.7%,46.4%,41.7%,50.0%,15.8%,21.1%,62.5%,9
2023 Monte Carlo R32,L vs Musetti,15.8%,18.4%,16.1%,17.1%,21.4%,25.0%,18.2%,23.2%,83.3%,75.0%,66.7%,0.0%,0.0%,11.1%,-118
2023 Monte Carlo R64,W vs Vacherot,19.4%,36.1%,56.1%,28.3%,22.7%,40.9%,55.9%,37.3%,57.9%,72.0%,100.0%,14.8%,29.6%,56.5%,-25
2022 Astana R16,L vs Tsitsipas,14.7%,30.7%,66.1%,23.6%,21.4%,47.6%,81.8%,37.4%,42.9%,57.1%,-,6.5%,9.7%,48.3%,-51
2022 Lugano CH F,W vs Riedi,41.3%,52.5%,57.8%,49.1%,50.0%,65.5%,62.1%,60.9%,39.3%,53.3%,60.0%,20.0%,20.0%,50.0%,59
Career (9 matches),,22.9%,34.6%,49.5%,29.8%,28.2%,44.8%,54.2%,39.2%,47.1%,51.1%,53.7%,16.4%,20.4%,41.8%,39
