Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,39,14,25,35.9%,36-56,39.1%,403-475,45.9%,5-13,27.8%,39,74.0%,17.9%,4.5%,4.8%,60.3%,69.2%,48.6%,61.0%,34.4%,48.1%,0.88
Clay,15,3,12,20.0%,8-26,23.5%,127-193,39.7%,1-2,33.3%,15,66.0%,13.3%,2.6%,4.3%,61.3%,63.2%,46.9%,56.9%,33.5%,45.3%,0.78
Grass,5,1,4,20.0%,3-10,23.1%,51-75,40.5%,0-0,-,5,66.1%,15.6%,4.1%,5.3%,62.2%,64.3%,40.6%,55.4%,31.6%,44.6%,0.71
Grand Slams,8,0,8,0.0%,3-24,11.1%,95-165,36.5%,1-4,20.0%,8,61.1%,13.2%,4.8%,7.8%,55.4%,65.3%,43.1%,55.4%,31.7%,43.7%,0.71
Masters,20,9,11,45.0%,19-26,42.2%,194-228,46.0%,1-2,33.3%,20,74.4%,18.0%,3.7%,4.7%,59.9%,68.9%,48.8%,60.9%,35.1%,48.1%,0.90
Other Tours,28,8,20,28.6%,23-40,36.5%,278-336,45.3%,4-9,30.8%,28,72.8%,17.8%,3.8%,4.0%,62.0%,66.3%,48.8%,59.6%,34.3%,47.6%,0.85
Best of 5,11,1,10,9.1%,5-26,16.1%,109-179,37.8%,1-4,20.0%,11,65.0%,12.7%,4.8%,6.4%,59.2%,67.4%,43.4%,57.6%,31.8%,44.9%,0.75
Best of 3,48,17,31,35.4%,42-66,38.9%,472-564,45.6%,5-11,31.3%,48,73.4%,17.9%,3.8%,4.3%,61.2%,67.3%,48.8%,60.1%,34.7%,47.8%,0.87
Quarter-finals,2,0,2,0.0%,1-4,20.0%,24-28,46.2%,0-2,0.0%,2,87.5%,11.5%,4.7%,2.0%,60.0%,78.9%,58.3%,70.7%,26.3%,47.7%,0.89
vs Righties,53,17,36,32.1%,44-83,34.6%,528-673,44.0%,5-12,29.4%,53,71.2%,17.3%,4.0%,4.9%,60.6%,67.5%,47.2%,59.5%,34.3%,47.3%,0.85
vs Lefties,6,1,5,16.7%,3-9,25.0%,53-70,43.1%,1-3,25.0%,6,73.1%,10.3%,4.1%,3.5%,61.7%,65.6%,50.3%,59.7%,31.2%,45.9%,0.77
vs Top 10,6,1,5,16.7%,3-12,20.0%,58-86,40.3%,0-2,0.0%,6,71.4%,11.1%,3.4%,6.1%,60.5%,68.2%,42.6%,58.1%,28.3%,44.6%,0.68
