Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 Cincinnati R16,L vs Alcaraz,1.11,0.62,48.8,2.0,0.0%,50.0%,0.0%,56.3%,32.0%,19.0%
2025 Wimbledon R128,L vs Sinner,1.08,0.41,28.9,2.2,4.4%,46.7%,2.3%,55.8%,22.2%,13.8%
2025 Doha R16,L vs Alcaraz,0.97,0.69,45.1,2.2,0.0%,65.1%,4.8%,50.0%,28.2%,32.4%
2024 Helsinki CH F,L vs Nishikori,1.05,0.79,51.6,9.7,2.1%,56.3%,2.3%,48.8%,38.6%,32.5%
2024 US Open R128,L vs Bautista Agut,0.89,0.81,41.5,2.1,6.3%,58.7%,1.6%,54.1%,37.1%,42.4%
2024 Wimbledon R128,L vs Etcheverry,0.79,0.38,21.5,2.0,17.1%,60.0%,6.1%,48.5%,20.0%,24.2%
2024 Indian Wells R32,W vs Djokovic,1.23,1.24,58.5,2.2,6.4%,63.8%,7.0%,62.8%,42.0%,31.1%
2023 Monte Carlo R32,L vs Musetti,0.96,0.33,26.4,2.0,0.0%,42.1%,0.0%,15.8%,41.2%,6.3%
2023 Monte Carlo R64,W vs Vacherot,1.08,1.30,52.0,2.5,2.6%,60.5%,0.0%,67.6%,40.9%,46.3%
2022 Astana R16,L vs Tsitsipas,0.91,0.61,54.1,2.2,2.5%,60.0%,8.6%,80.0%,15.4%,26.5%
2022 Lugano CH F,W vs Riedi,1.06,1.48,46.4,4.1,14.3%,69.0%,7.9%,78.9%,45.0%,26.5%
2025 (3 matches),,1.05,0.57,40.2,2.1,1.6%,54.1%,2.6%,53.8%,27.0%,22.6%
2024 (4 matches),,0.99,0.80,44.4,2.6,7.3%,59.6%,3.9%,53.9%,35.7%,34.2%
2023 (2 matches),,1.04,0.82,44.0,2.2,1.8%,54.4%,0.0%,49.1%,41.0%,35.1%
2022 (2 matches),,0.99,0.99,50.2,2.9,8.5%,64.6%,8.2%,79.5%,30.4%,26.5%
Career (11 matches),,1.01,0.77,44.3,2.4,5.3%,58.4%,3.8%,57.7%,33.5%,30.5%
