Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,,,,,,,,,,,29,2905,,
2020,,,,,,,,,,,39,2250,,
2019,,,,,,,,,,,42,1925,37,1758
2018,444,20,,,,,,,,,41,1849,29,1780
2017,263,195,276,1436,271,1397,,,194,1427,126,655,,
2016,252,208,270,1439,247,1413,247,1415,206,1393,112,698,113,1539
2015,104,559,167,1581,140,1565,180,1498,198,1429,83,916,114,1533
2014,152,350,162,1592,165,1537,149,1557,104,1561,69,1028,87,1592
2013,240,195,338,1327,332,1297,292,1363,,,102,771,,
2012,339,128,316,1385,300,1350,,,,,146,469,,
2011,758,18,,,,,,,,,384,144,,
2010,688,23,,,,,,,,,1430,6,,
2009,922,10,,,,,,,,,828,34,,
2008,1111,6,,,,,,,,,1208,12,,
2007,939,10,,,,,,,,,,,,
