Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,3,Hard,6,3,3,50.0%,4,0,4,0.0%,2014,2016,R64,6,1.03,12.9%,4.2%,61.7%,77.2%,47.2%,65.7%,35.3%,63.6%,33.3%
Roland Garros,2,Clay,2,0,2,0.0%,1,0,1,0.0%,2014,2015,Q1,2,0.60,3.4%,2.6%,57.3%,62.7%,40.0%,53.0%,28.1%,46.2%,16.7%
Wimbledon,3,Grass,5,2,3,40.0%,1,0,1,0.0%,2014,2016,Q3,0,,,,,,,,,,
US Open,6,Hard,9,3,6,33.3%,10,5,5,50.0%,2008,2017,R64,6,0.76,9.3%,4.3%,60.0%,71.0%,46.6%,61.2%,29.7%,45.9%,33.3%
Newport,5,Grass,10,5,5,50.0%,8,6,2,75.0%,2014,2018,R16,10,1.10,9.6%,3.7%,65.6%,78.2%,54.1%,69.9%,33.2%,44.8%,36.6%
Washington,3,Hard,4,1,3,25.0%,3,1,2,33.3%,2015,2017,R64,3,1.11,17.7%,4.7%,53.6%,82.5%,50.6%,67.7%,36.0%,50.0%,24.1%
Memphis,2,Hard,7,5,2,71.4%,5,4,1,80.0%,2015,2016,QF,7,1.17,13.3%,3.6%,62.7%,76.9%,55.1%,68.7%,36.6%,62.5%,33.9%
Atlanta,2,Hard,6,4,2,66.7%,4,3,1,75.0%,2015,2016,R32,4,0.92,7.4%,4.2%,58.9%,75.4%,55.8%,67.4%,29.9%,57.9%,20.0%
Delray Beach,2,Hard,6,4,2,66.7%,2,2,0,100.0%,2012,2016,R16,6,0.91,3.2%,4.3%,54.3%,65.1%,54.7%,60.4%,36.1%,53.8%,35.0%
Miami Masters,2,Hard,5,3,2,60.0%,3,2,1,66.7%,2015,2016,R64,5,1.08,10.9%,4.6%,59.4%,75.2%,54.4%,66.8%,35.8%,63.3%,54.2%
