Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,14,Hard,26,12,14,46.2%,17,6,11,35.3%,2009,2023,QF,26,0.92,10.4%,5.9%,62.0%,74.1%,43.8%,62.6%,34.5%,61.5%,33.0%
Roland Garros,16,Clay,35,19,16,54.3%,14,6,8,42.9%,2005,2021,R16,33,1.01,8.1%,4.7%,61.3%,72.3%,49.0%,63.3%,37.2%,53.0%,42.9%
Wimbledon,15,Grass,28,13,15,46.4%,24,10,14,41.7%,2006,2023,R16,26,0.97,12.2%,4.7%,61.8%,77.2%,49.9%,66.8%,32.4%,64.7%,33.2%
US Open,13,Hard,25,12,13,48.0%,14,4,10,28.6%,2008,2021,R16,25,1.01,10.2%,5.9%,60.4%,73.4%,50.6%,64.4%,35.9%,64.9%,43.5%
Olympics,1,,4,3,1,75.0%,2,2,0,100.0%,2021,2021,QF,0,,,,,,,,,,
Davis Cup,4,,7,5,2,71.4%,2,2,0,100.0%,2009,2018,,4,0.92,10.4%,4.3%,59.5%,66.8%,47.4%,58.9%,37.8%,65.9%,32.5%
Queen's Club,9,Grass,16,7,9,43.8%,13,4,9,30.8%,2009,2023,SF,16,1.05,12.4%,5.9%,63.3%,79.1%,52.2%,69.2%,32.4%,70.5%,30.2%
Rome Masters,9,Clay,20,11,9,55.0%,4,4,0,100.0%,2009,2023,QF,20,1.02,7.3%,6.1%,59.6%,73.0%,46.7%,62.4%,38.5%,55.7%,35.2%
Madrid Masters,9,Clay,14,5,9,35.7%,6,2,4,33.3%,2009,2023,R16,14,0.90,7.0%,3.9%,61.5%,70.3%,51.9%,63.2%,33.0%,66.3%,40.7%
Cincinnati Masters,11,Hard,22,10,12,45.5%,9,3,6,33.3%,2009,2021,QF,22,1.02,12.2%,5.6%,55.6%,75.7%,50.9%,64.7%,36.0%,61.5%,35.3%
Stuttgart,7,Grass,14,8,6,57.1%,8,7,1,87.5%,2009,2021,W,14,1.07,10.5%,6.5%,58.2%,76.0%,52.2%,66.0%,36.2%,65.5%,33.7%
Estoril,5,Clay,9,4,5,44.4%,2,1,1,50.0%,2006,2021,R16,9,0.88,5.8%,6.2%,59.3%,61.4%,40.6%,53.0%,41.5%,56.0%,42.3%
