Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,42,26,16,61.9%,57-42,57.6%,499-450,52.6%,8-5,61.5%,42,75.4%,31.1%,8.4%,6.9%,57.8%,69.7%,49.1%,61.0%,41.3%,51.2%,1.06
Clay,8,3,5,37.5%,7-11,38.9%,78-96,44.8%,1-0,100.0%,8,62.5%,25.9%,5.3%,6.7%,62.5%,66.7%,39.1%,56.3%,39.9%,48.4%,0.91
Grass,11,8,3,72.7%,19-9,67.9%,146-122,54.5%,3-0,100.0%,11,80.9%,27.6%,11.4%,6.0%,60.1%,74.3%,49.1%,64.3%,41.4%,52.3%,1.16
Grand Slams,11,7,4,63.6%,16-10,61.5%,135-120,52.9%,2-0,100.0%,11,74.0%,33.3%,8.6%,7.0%,57.9%,69.5%,48.5%,60.6%,43.5%,51.9%,1.11
Premiers,12,8,4,66.7%,18-11,62.1%,153-135,53.1%,3-2,60.0%,12,81.7%,24.6%,11.9%,5.9%,59.9%,74.7%,50.8%,65.1%,38.6%,51.9%,1.11
Internationals,12,7,5,58.3%,16-13,55.2%,143-137,51.1%,4-1,80.0%,12,69.3%,31.9%,7.8%,6.6%,59.8%,67.6%,45.3%,58.7%,42.6%,50.4%,1.03
Finals,3,0,3,0.0%,2-6,25.0%,23-40,36.5%,0-0,-,3,57.1%,20.7%,7.7%,9.3%,59.6%,61.5%,40.5%,53.0%,39.0%,45.5%,0.83
Semi-finals,4,2,2,50.0%,5-5,50.0%,46-51,47.4%,2-0,100.0%,4,71.7%,22.4%,10.3%,6.9%,60.1%,68.3%,43.9%,58.6%,38.4%,48.6%,0.93
Quarter-finals,7,5,2,71.4%,11-6,64.7%,90-66,57.7%,0-1,0.0%,7,80.8%,35.9%,10.0%,7.8%,58.0%,73.1%,55.2%,65.6%,44.4%,54.6%,1.29
vs Righties,56,31,25,55.4%,71-63,53.0%,650-636,50.5%,9-5,64.3%,55,73.1%,29.2%,8.2%,7.0%,58.4%,69.3%,47.4%,60.2%,41.0%,50.6%,1.03
vs Lefties,7,7,0,100.0%,14-1,93.3%,91-48,65.5%,3-0,100.0%,6,91.8%,35.6%,11.9%,4.0%,64.4%,78.3%,54.1%,69.7%,43.0%,56.3%,1.42
vs Top 10,10,3,7,30.0%,8-16,33.3%,98-131,42.8%,2-0,100.0%,10,70.3%,17.7%,7.5%,7.6%,59.0%,68.6%,43.6%,58.3%,36.5%,47.6%,0.88
