Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,8,Hard,22,14,8,63.6%,7,4,3,57.1%,2000,2009,R64,6,0.94,4.4%,3.6%,62.8%,64.3%,46.9%,57.8%,39.5%,53.7%,28.2%
Roland Garros,7,Clay,13,5,8,38.5%,0,0,0,-,2000,2008,R64,3,0.71,0.0%,0.5%,67.2%,53.4%,40.0%,49.0%,36.3%,41.4%,37.5%
Wimbledon,7,Grass,10,3,7,30.0%,2,1,1,50.0%,2000,2008,R128,2,0.73,3.8%,3.8%,63.5%,57.4%,41.4%,51.6%,35.5%,44.4%,16.7%
US Open,9,Hard,15,6,9,40.0%,3,1,2,33.3%,1998,2008,R64,3,0.97,3.2%,1.6%,62.0%,61.9%,31.6%,50.4%,48.3%,41.2%,48.6%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2008,2008,R64,0,,,,,,,,,,
Fed Cup,12,,39,23,16,59.0%,5,1,4,20.0%,1995,2009,,0,,,,,,,,,,
ITF Jaffa,4,Hard,13,8,5,61.5%,3,1,2,33.3%,1989,1995,SF,0,,,,,,,,,,
Pattaya,4,Hard,10,6,4,60.0%,1,1,0,100.0%,2005,2008,QF,1,0.64,4.9%,1.6%,75.4%,58.7%,26.7%,50.8%,31.5%,63.6%,16.7%
Auckland,3,Hard,12,9,3,75.0%,2,1,1,50.0%,2002,2006,QF,0,,,,,,,,,,
Guangzhou,3,Hard,11,8,3,72.7%,1,1,0,100.0%,2005,2007,F,0,,,,,,,,,,
ITF Haifa 2,3,Hard,11,8,3,72.7%,2,2,0,100.0%,1989,1994,F,0,,,,,,,,,,
ITF Ashkelon,3,Hard,8,5,3,62.5%,1,1,0,100.0%,1991,1993,QF,0,,,,,,,,,,
