Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2009,,,164,1577,139,1576,155,1514,,,,,,
2008,175,178,124,1654,111,1621,125,1573,143,1479,,,,
2007,80,390,87,1702,80,1665,97,1601,133,1480,,,,
2006,112,265,124,1660,113,1618,123,1569,143,1467,,,,
2005,136,253,143,1619,138,1566,123,1581,140,1470,,,,
2004,111,336,157,1591,155,1538,136,1565,156,1463,,,,
2003,147,212,188,1517,179,1472,137,1531,193,1386,,,,
2002,146,219,96,1709,97,1629,81,1671,,,,,,
2000,193,125,192,1497,166,1492,211,1402,172,1402,,,,
1999,213,97,,,,,,,,,,,,
1998,269,69,,,,,,,,,,,,
1997,293,55,,,,,,,,,,,,
1996,463,20,,,,,,,,,,,,
1995,649,,475,1382,382,1396,519,1293,,,,,,
1994,565,,514,1306,434,1317,484,1259,,,,,,
1993,442,1,596,1248,529,1260,574,1201,,,,,,
1992,,,546,1274,449,1306,534,1220,,,,,,
1991,575,,558,1269,523,1239,,,,,,,,
1990,566,,,,,,,,,,,,,
