Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,29,8,21,27.6%,21-48,30.4%,261-377,40.9%,4-3,57.1%,29,60.3%,24.6%,3.1%,4.2%,63.5%,59.7%,44.9%,54.3%,39.0%,46.7%,0.85
Clay,3,1,2,33.3%,2-4,33.3%,23-29,44.2%,0-0,-,3,42.3%,46.2%,1.1%,4.5%,68.5%,47.5%,48.2%,47.8%,47.1%,47.4%,0.90
Grass,3,0,3,0.0%,2-6,25.0%,35-45,43.8%,0-1,0.0%,3,76.3%,14.6%,3.5%,5.6%,61.0%,69.5%,53.3%,63.2%,35.7%,48.8%,0.97
Grand Slams,11,4,7,36.4%,11-17,39.3%,119-150,44.2%,3-2,60.0%,11,60.0%,27.6%,2.1%,3.7%,65.5%,60.0%,45.4%,54.9%,39.2%,47.2%,0.87
Premiers,8,2,6,25.0%,6-14,30.0%,76-109,41.1%,0-1,0.0%,8,64.8%,18.3%,3.8%,3.6%,63.0%,62.8%,47.4%,57.1%,37.2%,47.0%,0.87
Internationals,13,3,10,23.1%,8-21,27.6%,105-154,40.5%,1-0,100.0%,13,60.6%,28.7%,3.3%,5.4%,63.4%,59.0%,45.7%,54.1%,41.0%,47.5%,0.89
vs Righties,32,8,24,25.0%,22-54,28.9%,290-416,41.1%,4-4,50.0%,32,60.3%,25.1%,3.0%,4.3%,63.7%,59.1%,46.3%,54.5%,39.3%,46.8%,0.86
vs Lefties,2,1,1,50.0%,2-2,50.0%,15-18,45.5%,0-0,-,2,62.5%,23.5%,2.6%,6.0%,64.7%,62.7%,39.0%,54.3%,38.1%,46.9%,0.83
vs Top 10,2,0,2,0.0%,0-4,0.0%,12-25,32.4%,0-0,-,2,50.0%,15.8%,2.6%,3.5%,63.2%,55.6%,42.9%,50.9%,30.2%,40.9%,0.61
