Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2021 ATP Cup RR,W vs Novak,42.2%,51.6%,55.6%,47.2%,55.8%,65.1%,63.2%,63.3%,37.5%,44.4%,0.0%,15.0%,25.0%,47.1%,-7
2019 Queens Club QF,L vs Simon,26.8%,38.9%,47.7%,34.6%,35.4%,50.5%,53.1%,47.8%,43.8%,31.4%,42.9%,13.0%,20.4%,40.4%,15
2019 Queens Club R16,W vs Wawrinka,22.3%,44.7%,66.2%,33.1%,25.9%,53.7%,67.5%,46.5%,50.0%,37.5%,50.0%,20.9%,39.5%,64.7%,84
2018 Davis Cup World Group SF RR,L vs Granollers,21.0%,35.8%,58.3%,30.2%,24.6%,40.4%,58.1%,37.7%,39.1%,29.4%,-,15.0%,30.0%,58.8%,19
2018 US Open R64,L vs Zverev,29.1%,43.0%,42.6%,36.2%,42.6%,63.8%,51.9%,54.5%,31.0%,27.8%,-,10.0%,13.3%,33.3%,-15
2017 Miami R16,L vs Nadal,28.2%,40.8%,55.1%,39.0%,38.6%,54.5%,63.0%,56.1%,52.4%,52.2%,-,12.0%,20.0%,45.5%,4
2016 Rotterdam R16,W vs Chardy,31.6%,45.6%,50.0%,41.1%,39.6%,58.3%,62.1%,55.2%,28.6%,44.4%,66.7%,20.7%,27.6%,34.8%,19
2016 Rotterdam R32,W vs Gabashvili,31.3%,43.8%,53.7%,40.0%,41.7%,58.3%,60.7%,56.3%,38.9%,36.7%,50.0%,16.1%,22.6%,46.2%,-32
2015 s Hertogenbosch F,W vs Goffin,43.6%,56.4%,58.6%,50.0%,48.7%,66.7%,70.0%,57.7%,33.3%,42.9%,0.0%,35.7%,35.7%,33.3%,110
2015 s Hertogenbosch SF,W vs Haase,37.8%,48.9%,57.4%,46.8%,40.4%,56.1%,61.8%,54.6%,25.9%,70.0%,100.0%,35.5%,38.7%,50.0%,13
2015 s Hertogenbosch R16,W vs Bautista Agut,25.9%,39.7%,53.8%,37.4%,23.5%,38.2%,57.7%,43.2%,20.0%,42.9%,0.0%,35.0%,50.0%,46.2%,173
2015 Roland Garros R128,W vs Coppejans,35.0%,47.9%,42.1%,42.1%,41.3%,57.5%,48.9%,51.6%,26.2%,44.7%,85.7%,21.6%,27.0%,31.0%,-79
2014 Newport QF,L vs Groth,41.3%,50.7%,32.5%,46.9%,44.7%,57.4%,38.5%,53.6%,41.7%,43.5%,50.0%,41.7%,45.8%,21.4%,137
2013 Newport F,W vs Hewitt,42.9%,53.1%,46.7%,48.1%,65.5%,81.0%,55.0%,74.3%,20.7%,24.1%,50.0%,13.8%,17.2%,40.0%,-8
2013 s Hertogenbosch F,W vs Wawrinka,38.3%,55.0%,63.6%,44.2%,54.8%,77.4%,64.3%,66.1%,20.0%,56.3%,-,23.1%,34.6%,65.0%,102
2010 Wimbledon R128,L vs Isner,47.0%,64.2%,65.1%,56.5%,55.9%,74.0%,69.2%,69.8%,39.9%,50.3%,50.0%,32.6%,50.0%,58.1%,121
2007 Newport F,L vs Santoro,17.5%,33.3%,64.3%,31.3%,26.3%,50.0%,60.7%,49.2%,26.3%,47.4%,100.0%,6.7%,13.3%,71.4%,-74
2007 Queens Club F,L vs Roddick,30.2%,50.0%,66.7%,41.5%,49.2%,69.5%,80.0%,69.5%,60.9%,55.6%,-,7.7%,30.8%,55.6%,-39
2007 Queens Club QF,W vs Nadal,43.4%,59.0%,50.0%,51.0%,54.2%,69.5%,48.1%,64.9%,50.0%,51.9%,50.0%,23.5%,47.1%,53.8%,65
2006 Moscow R32,L vs Safin,37.5%,56.3%,46.4%,48.3%,43.8%,68.8%,55.6%,60.0%,40.0%,36.4%,0.0%,28.6%,35.7%,30.0%,110
Career (20 matches),,35.9%,50.8%,55.5%,44.7%,45.4%,63.1%,60.6%,59.1%,37.2%,44.6%,52.0%,22.4%,33.7%,48.3%,98
