Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,229,94,135,41.0%,247-323,43.3%,2766-2969,48.2%,52-61,46.0%,227,79.7%,16.9%,9.1%,4.3%,59.8%,72.8%,49.5%,63.5%,34.1%,48.9%,0.93
Clay,56,17,39,30.4%,55-104,34.6%,707-845,45.6%,11-18,37.9%,55,73.2%,17.5%,5.4%,3.4%,61.3%,66.9%,49.0%,60.0%,34.5%,47.6%,0.86
Grass,108,67,41,62.0%,160-116,58.0%,1548-1389,52.7%,29-35,45.3%,108,87.3%,18.2%,12.5%,4.8%,62.6%,77.3%,53.2%,68.3%,34.6%,51.4%,1.09
Carpet,14,3,11,21.4%,6-24,20.0%,139-174,44.4%,0-8,0.0%,14,84.7%,7.7%,13.2%,4.6%,62.0%,78.3%,48.6%,67.0%,28.4%,47.4%,0.86
Grand Slams,82,31,51,37.8%,123-173,41.6%,1450-1595,47.6%,20-27,42.6%,82,78.0%,17.6%,8.6%,4.0%,61.1%,71.1%,49.9%,62.9%,34.2%,48.8%,0.92
Masters,72,24,48,33.3%,59-109,35.1%,776-911,46.0%,14-22,38.9%,72,76.5%,15.7%,6.8%,4.2%,59.6%,70.8%,48.9%,61.9%,33.6%,48.0%,0.88
Other Tours,250,125,125,50.0%,284-282,50.2%,2909-2845,50.6%,57-72,44.2%,248,84.0%,17.2%,10.9%,4.5%,61.0%,75.2%,51.1%,65.8%,34.2%,50.1%,1.00
Best of 5,82,31,51,37.8%,123-173,41.6%,1450-1595,47.6%,20-27,42.6%,82,78.0%,17.6%,8.6%,4.0%,61.1%,71.1%,49.9%,62.9%,34.2%,48.8%,0.92
Best of 3,325,150,175,46.2%,345-394,46.7%,3710-3782,49.5%,72-95,43.1%,322,82.3%,16.8%,9.9%,4.5%,60.7%,74.2%,50.6%,64.9%,34.1%,49.6%,0.97
Finals,6,4,2,66.7%,9-5,64.3%,81-67,54.7%,1-2,33.3%,6,89.0%,20.8%,11.3%,7.1%,61.7%,81.4%,49.1%,69.0%,34.1%,52.0%,1.10
Semi-finals,9,6,3,66.7%,14-9,60.9%,129-110,54.0%,2-4,33.3%,9,92.4%,15.7%,12.4%,3.6%,62.3%,80.4%,58.0%,71.9%,33.3%,52.3%,1.19
Quarter-finals,26,9,17,34.6%,26-36,41.9%,320-337,48.7%,7-10,41.2%,26,84.0%,14.0%,8.9%,3.9%,63.3%,71.5%,50.0%,63.6%,31.9%,48.6%,0.88
vs Righties,355,149,206,42.0%,391-508,43.5%,4462-4742,48.5%,84-110,43.3%,352,80.7%,16.5%,9.5%,4.3%,60.8%,73.1%,50.1%,64.1%,33.8%,49.1%,0.94
vs Lefties,51,31,20,60.8%,75-58,56.4%,680-623,52.2%,8-11,42.1%,51,83.5%,20.9%,10.1%,4.3%,61.2%,74.7%,52.1%,65.9%,36.8%,51.2%,1.08
vs Top 10,44,5,39,11.4%,19-87,17.9%,420-622,40.3%,4-18,18.2%,44,72.8%,9.3%,8.5%,4.4%,60.6%,70.4%,44.6%,60.2%,28.4%,44.9%,0.71
