Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,,,,,,,,,,,115,755,,
2021,406,100,,,,,,,,,,,,
2020,238,239,,,,,,,,,4,6135,,
2019,194,260,121,1661,121,1610,110,1601,68,1642,3,7180,3,1901
2018,190,270,125,1648,123,1607,129,1575,61,1646,11,4880,1,1945
2017,103,561,75,1745,74,1691,97,1641,34,1729,6,5535,2,1948
2016,39,1102,49,1802,68,1710,83,1675,21,1803,1,8550,4,1912
2015,71,710,79,1728,96,1650,99,1627,32,1743,12,5285,16,1846
2014,117,490,94,1691,91,1646,128,1584,47,1686,19,3350,21,1805
2013,50,918,58,1785,65,1719,93,1642,26,1765,32,2300,23,1775
2012,108,515,83,1723,81,1663,94,1656,56,1663,51,1420,49,1700
2011,80,653,79,1725,72,1687,110,1610,50,1669,59,1275,73,1640
2010,132,424,90,1700,92,1640,116,1599,43,1693,97,799,98,1571
2009,214,219,110,1678,96,1624,138,1569,44,1685,98,726,,
2008,94,480,72,1745,65,1708,134,1585,40,1709,81,835,87,1599
2007,45,683,61,1768,61,1707,109,1623,20,1776,38,1256,35,1703
2006,66,552,76,1718,75,1662,140,1559,46,1668,83,666,38,1684
2005,134,309,145,1609,123,1590,232,1441,88,1573,57,951,32,1719
2004,131,335,96,1698,85,1662,188,1505,69,1608,27,1584,15,1835
2003,94,399,133,1622,133,1562,211,1478,61,1629,75,707,,
2002,269,106,294,1404,266,1387,288,1341,220,1355,290,137,,
2001,216,173,239,1498,213,1480,268,1403,,,279,180,,
2000,388,64,288,1440,289,1352,267,1403,,,207,257,,
1999,1061,5,,,,,,,,,826,24,,
