Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,6,Hard,8,2,6,25.0%,2,0,2,0.0%,2020,2026,R32,8,0.85,5.1%,2.8%,59.7%,63.7%,38.9%,53.7%,39.5%,55.8%,40.0%
Roland Garros,8,Clay,14,6,8,42.9%,3,1,2,33.3%,2018,2025,R32,12,0.91,2.5%,2.8%,63.1%,59.0%,48.5%,55.1%,41.1%,62.4%,50.0%
Wimbledon,4,Grass,12,8,4,66.7%,2,1,1,50.0%,2022,2025,R32,12,1.08,5.5%,4.6%,61.8%,66.2%,52.3%,60.9%,42.2%,66.7%,49.4%
US Open,5,Hard,8,3,5,37.5%,3,3,0,100.0%,2019,2025,R32,8,0.92,4.9%,4.7%,60.8%,68.0%,45.6%,59.2%,37.5%,50.0%,34.7%
Olympics,1,,2,1,1,50.0%,1,1,0,100.0%,2024,2024,R32,2,0.85,0.7%,3.6%,72.7%,60.4%,31.6%,52.5%,40.3%,47.1%,35.7%
Miami,3,Hard,5,2,3,40.0%,1,1,0,100.0%,2022,2026,R64,5,1.00,5.6%,4.1%,58.3%,65.8%,46.6%,57.8%,42.3%,48.7%,40.5%
Indian Wells,4,Hard,10,6,4,60.0%,1,0,1,0.0%,2022,2026,R16,10,1.12,5.4%,4.3%,53.0%,71.7%,52.6%,62.7%,41.6%,50.9%,36.9%
Merida,2,Hard,2,0,2,0.0%,1,0,1,0.0%,2023,2026,Q1,2,0.71,5.1%,3.6%,68.1%,59.6%,47.7%,55.8%,31.5%,57.9%,37.5%
Guangzhou,3,Hard,4,1,3,25.0%,1,1,0,100.0%,2023,2025,R16,4,0.84,9.2%,2.7%,54.6%,60.8%,46.2%,54.2%,38.3%,55.6%,22.2%
Wuhan,2,Hard,2,0,2,0.0%,0,0,0,-,2024,2025,R64,2,0.74,2.0%,2.0%,53.1%,57.7%,50.0%,54.1%,34.1%,35.7%,9.1%
Beijing,3,Hard,5,2,3,40.0%,1,0,1,0.0%,2023,2025,R64,5,1.01,5.0%,1.7%,54.3%,65.2%,50.7%,58.6%,41.7%,56.7%,38.2%
