Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 US Open R32,L vs Kostyuk,15.0%,23.4%,49.4%,15.9%,29.0%,58.6%,51.4%,35.3%,41.7%,15.6%,15.6%,29.6%,0.0%,6.3%,0.0%,33
2024 Osaka SF,L vs Lamens,26.1%,34.8%,40.9%,23.7%,36.8%,37.9%,31.3%,63.6%,85.7%,37.5%,41.7%,46.7%,0.0%,63.6%,-,104
2024 Cleveland R32,L vs Potapova,9.4%,17.0%,33.3%,9.4%,15.6%,27.6%,61.5%,42.1%,33.3%,11.1%,22.2%,43.8%,18.2%,57.1%,33.3%,-9
2024 Olympics R32,L vs Swiatek,17.2%,24.1%,34.1%,26.5%,35.3%,40.0%,50.0%,50.0%,100.0%,5.0%,10.0%,26.3%,12.5%,75.0%,75.0%,-71
2024 Roland Garros R64,L vs Svitolina,13.4%,22.0%,48.6%,16.7%,33.3%,51.4%,55.6%,50.0%,50.0%,10.3%,10.3%,45.7%,0.0%,47.4%,20.0%,-74
2024 Australian Open R32,L vs Andreeva,16.7%,21.1%,45.9%,21.8%,29.1%,53.5%,40.0%,26.7%,33.3%,8.8%,8.8%,35.5%,0.0%,21.1%,0.0%,-69
2023 Palermo R16,L vs Zheng,26.4%,33.3%,50.0%,38.3%,42.6%,41.4%,47.6%,50.0%,100.0%,13.2%,23.7%,57.6%,0.0%,47.6%,50.0%,-43
2023 Palermo R32,W vs Zantedeschi,22.0%,36.0%,51.4%,27.8%,41.7%,57.7%,62.5%,55.0%,100.0%,8.3%,25.0%,36.4%,0.0%,60.0%,-,-104
2023 Roland Garros R64,L vs Andreeva,3.4%,16.9%,45.3%,3.0%,18.2%,50.0%,35.7%,52.6%,60.0%,4.5%,18.2%,38.1%,14.3%,87.5%,83.3%,-74
2023 Roland Garros R128,W vs Kalinina,12.0%,20.0%,68.2%,15.2%,21.2%,71.4%,31.3%,35.3%,50.0%,5.9%,17.6%,62.5%,0.0%,27.3%,-,-104
2022 Angers R32,L vs Friedsam,38.3%,44.7%,26.9%,48.3%,58.6%,26.7%,33.3%,35.3%,33.3%,26.7%,26.7%,27.3%,0.0%,42.9%,100.0%,97
2022 BJK Cup Finals RR,W vs Lamens,32.0%,47.6%,55.2%,42.6%,60.7%,65.7%,60.7%,30.3%,50.0%,17.9%,30.8%,43.8%,0.0%,38.5%,-,-18
2022 Granby QF,W vs Maria,14.6%,33.3%,63.5%,17.5%,33.8%,60.6%,21.2%,42.6%,80.0%,9.5%,33.3%,68.4%,0.0%,47.8%,-,-76
2022 Wimbledon R32,L vs Jabeur,12.5%,26.6%,42.6%,15.9%,34.1%,45.9%,45.0%,45.8%,33.3%,5.6%,11.1%,35.3%,0.0%,77.8%,100.0%,-61
2022 Roland Garros R64,W vs Osorio,15.1%,18.9%,54.5%,15.2%,19.6%,56.4%,22.7%,33.3%,16.7%,16.7%,16.7%,40.0%,0.0%,0.0%,-,46
2021 Montevideo F,W vs Udvardy,34.6%,42.3%,55.2%,44.8%,58.6%,50.0%,46.2%,25.0%,33.3%,27.8%,27.8%,61.5%,0.0%,0.0%,-,131
2021 Strasbourg R32,L vs Niemeier,16.4%,25.4%,50.0%,22.0%,32.0%,51.3%,36.0%,28.0%,33.3%,0.0%,7.7%,46.2%,0.0%,62.5%,-,-119
2019 Roland Garros R128,W vs Lapko,24.4%,26.8%,49.2%,29.3%,31.0%,48.8%,37.9%,62.1%,77.8%,14.3%,19.0%,50.0%,10.0%,72.7%,100.0%,25
Last 52 Weeks (1 matches),,15.0%,23.4%,49.4%,15.9%,29.0%,58.6%,51.4%,35.3%,41.7%,15.6%,15.6%,29.6%,0.0%,6.3%,0.0%,33
Career (18 matches),,19.4%,28.9%,49.3%,23.8%,34.9%,51.6%,42.2%,42.1%,53.3%,13.3%,21.0%,45.6%,3.0%,44.7%,60.7%,18
