Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 Metz R32,W vs Choinski,1.05,1.28,59.1,5.7,13.3%,71.1%,12.2%,65.9%,40.8%,35.6%
2025 Roland Garros R128,L vs Shelton,0.90,0.80,40.8,5.3,2.9%,67.6%,1.7%,53.4%,33.3%,35.3%
2025 Indian Wells R128,L vs Goffin,1.03,0.87,56.7,3.1,0.0%,42.9%,3.0%,42.4%,34.4%,64.3%
2025 Marseille QF,L vs Humbert,0.81,0.61,42.3,2.0,17.6%,55.9%,6.7%,73.3%,30.3%,23.3%
2025 Rotterdam R32,L vs Rune,1.02,0.73,61.7,2.2,4.0%,64.0%,2.1%,50.0%,23.7%,38.2%
2025 Australian Open QF,L vs Shelton,0.96,0.81,47.5,2.3,0.0%,60.8%,4.1%,68.9%,31.5%,27.9%
2025 Australian Open R64,W vs Fonseca,0.98,1.26,47.6,3.7,6.7%,64.0%,10.8%,78.5%,32.0%,43.7%
2025 Australian Open R128,W vs Wawrinka,1.26,1.28,40.4,2.6,8.7%,68.1%,9.5%,77.8%,27.9%,27.5%
2025 Hong Kong R32,W vs Nakashima,1.31,1.85,44.8,2.5,9.1%,93.9%,7.1%,71.4%,19.4%,28.0%
2024 Vienna R32,L vs Musetti,0.83,0.29,28.6,2.0,3.4%,44.8%,3.7%,63.0%,20.8%,10.5%
2024 US Open R128,L vs Paul,0.71,0.70,28.4,2.3,5.7%,64.2%,2.1%,60.4%,42.9%,30.9%
2024 Winston-Salem F,W vs Michelsen,1.52,3.54,27.8,2.0,4.8%,76.2%,20.0%,80.0%,47.8%,55.0%
2024 Winston-Salem SF,W vs Goffin,1.52,2.44,29.1,2.0,3.6%,64.3%,4.3%,82.6%,36.0%,52.0%
2024 Canada R32,L vs Tabilo,0.99,0.55,40.2,2.1,3.3%,50.0%,10.7%,57.1%,30.8%,20.8%
2024 Wimbledon R64,L vs Bautista Agut,0.91,0.75,36.9,2.3,13.3%,71.7%,18.5%,51.9%,33.3%,28.1%
2024 Wimbledon R128,W vs Navone,1.02,1.52,38.4,2.7,12.0%,72.0%,4.3%,73.9%,40.4%,40.0%
2024 Halle R16,L vs Zverev,1.01,0.43,45.1,2.1,7.3%,73.2%,11.1%,58.3%,16.7%,11.5%
2024 Roland Garros R128,W vs Humbert,1.17,1.47,35.4,2.5,7.3%,72.7%,8.2%,67.3%,41.0%,33.3%
2024 Madrid R64,L vs Sinner,0.77,0.32,29.2,2.0,0.0%,40.9%,4.5%,54.5%,22.7%,20.0%
2024 Bucharest R32,L vs Fonseca,0.83,0.78,56.4,3.5,0.0%,64.9%,5.7%,62.9%,35.0%,32.4%
2025 (9 matches),,1.03,0.98,48.2,2.9,6.1%,65.2%,6.4%,65.7%,31.0%,35.5%
2024 (13 matches),,0.99,0.90,39.0,2.4,6.6%,64.5%,9.2%,64.0%,35.1%,29.8%
2023 (7 matches),,0.89,0.79,42.9,2.9,5.5%,63.0%,4.5%,67.2%,32.1%,30.3%
2022 (10 matches),,1.02,1.03,47.8,2.6,8.5%,63.8%,6.4%,66.7%,36.2%,34.5%
2021 (12 matches),,1.03,1.05,45.3,3.0,10.2%,67.4%,6.3%,64.4%,33.8%,35.6%
Career (264 matches),,1.01,1.04,52.5,2.8,7.7%,64.6%,5.6%,64.2%,36.7%,36.7%
