Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Metz R32,W vs Choinski,37.2%,51.2%,50.0%,43.7%,45.8%,62.7%,53.1%,55.3%,70.6%,36.0%,25.0%,18.5%,25.9%,45.5%,-79
2025 Wimbledon R32,W vs Nakashima,34.0%,48.4%,54.5%,44.9%,35.7%,52.4%,54.3%,49.9%,50.0%,27.7%,0.0%,29.5%,36.4%,54.8%,-45
2025 Roland Garros R128,L vs Shelton,19.8%,36.5%,52.6%,29.6%,24.1%,42.2%,54.0%,38.9%,57.9%,48.9%,100.0%,13.5%,29.7%,50.0%,16
2025 Indian Wells R128,L vs Goffin,13.2%,25.0%,35.1%,22.1%,18.2%,31.8%,38.9%,31.8%,52.2%,47.6%,40.0%,4.5%,13.6%,28.6%,-72
2025 Marseille QF,L vs Humbert,39.1%,45.3%,42.1%,42.3%,50.0%,57.5%,35.0%,55.3%,40.0%,50.0%,75.0%,21.7%,26.1%,50.0%,-16
2025 Rotterdam R32,L vs Rune,26.5%,37.8%,42.9%,33.6%,35.1%,50.9%,45.9%,47.2%,54.2%,36.4%,57.1%,15.4%,20.5%,39.4%,-5
2025 Australian Open QF,L vs Shelton,15.0%,35.3%,58.9%,29.4%,17.6%,43.1%,64.3%,39.2%,54.0%,46.2%,66.7%,10.0%,20.0%,48.9%,-49
2025 Australian Open R64,W vs Fonseca,30.7%,47.9%,59.6%,41.8%,33.3%,53.8%,66.1%,50.0%,57.1%,37.3%,75.0%,27.3%,38.6%,46.9%,18
2025 Australian Open R128,W vs Wawrinka,37.1%,60.6%,61.0%,46.8%,48.8%,75.6%,69.0%,64.4%,58.3%,50.0%,0.0%,20.5%,40.9%,51.4%,80
2024 Hong Kong R32,W vs Nakashima,36.1%,44.3%,76.3%,45.6%,47.4%,52.6%,80.0%,62.6%,40.0%,56.5%,-,18.2%,31.8%,72.2%,-13
2024 Vienna R32,L vs Musetti,32.1%,41.1%,32.4%,37.9%,37.8%,48.6%,39.1%,46.5%,56.3%,52.4%,75.0%,22.2%,27.8%,21.4%,1
2024 Winston Salem F,W vs Michelsen,41.5%,61.0%,68.2%,54.4%,48.4%,71.0%,75.0%,65.5%,53.8%,55.6%,-,25.0%,37.5%,50.0%,102
2024 Winston Salem SF,W vs Goffin,27.5%,45.1%,62.2%,33.3%,31.3%,50.0%,63.6%,40.6%,66.7%,55.0%,-,21.1%,36.8%,60.0%,-79
2024 Canada R32,L vs Tabilo,27.6%,37.9%,41.7%,35.0%,38.7%,54.8%,63.2%,52.6%,71.4%,47.1%,66.7%,19.0%,23.8%,17.6%,45
2024 Halle R16,L vs Zverev,31.2%,45.5%,54.0%,41.0%,39.5%,58.1%,57.7%,57.2%,60.0%,43.5%,0.0%,22.6%,32.3%,50.0%,55
2024 Roland Garros R128,W vs Humbert,35.6%,48.1%,57.1%,42.7%,43.2%,56.8%,57.1%,53.2%,48.5%,56.1%,33.3%,19.2%,30.8%,57.1%,65
2024 Madrid R64,L vs Sinner,15.9%,36.4%,38.9%,23.9%,19.2%,46.2%,42.9%,32.7%,58.3%,50.0%,33.3%,11.8%,23.5%,33.3%,4
2024 Bucharest R32,L vs Fonseca,27.8%,47.2%,51.0%,37.6%,27.5%,52.9%,54.1%,41.4%,71.4%,46.7%,100.0%,30.0%,35.0%,42.9%,-7
2024 Dubai R16,L vs Medvedev,29.8%,40.5%,46.6%,34.8%,39.0%,49.2%,38.9%,46.1%,72.4%,66.7%,77.8%,8.3%,20.8%,59.1%,-30
2024 Rotterdam R32,L vs Dimitrov,38.7%,58.1%,43.2%,49.4%,43.2%,70.5%,60.0%,58.2%,59.1%,72.7%,50.0%,29.4%,29.4%,8.3%,5
Career (57 matches),,29.0%,42.8%,52.2%,37.3%,35.7%,52.0%,56.4%,48.2%,57.0%,46.3%,48.9%,17.0%,26.6%,45.5%,20
