Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 Metz R32,W vs Choinski,9.3%,57.1%,12.8%,60.9%,10.2%,18.2%,0.0%,4.7%,0.0%,3.5%,60.0%,-55,-33
2025 Wimbledon R32,W vs Nakashima,3.5%,16.7%,19.1%,59.5%,15.4%,24.6%,18.2%,11.2%,14.8%,4.7%,50.0%,20,23
2025 Roland Garros R128,L vs Shelton,4.9%,66.7%,15.8%,73.8%,16.9%,26.2%,5.6%,9.5%,15.4%,2.3%,33.3%,-15,-34
2025 Indian Wells R128,L vs Goffin,7.5%,40.0%,23.4%,56.7%,12.6%,25.0%,15.4%,7.9%,25.0%,4.5%,55.6%,28,18
2025 Marseille QF,L vs Humbert,5.4%,66.7%,4.7%,83.3%,12.5%,25.0%,0.0%,6.3%,0.0%,1.2%,0.0%,-44,-59
2025 Rotterdam R32,L vs Rune,3.2%,66.7%,13.5%,65.2%,13.3%,14.3%,18.2%,4.1%,12.5%,2.6%,33.3%,8,29
2025 Australian Open QF,L vs Shelton,14.7%,86.4%,30.3%,70.8%,18.3%,20.9%,6.7%,5.1%,9.1%,3.7%,43.8%,59,12
2025 Australian Open R64,W vs Fonseca,0.0%,-,13.3%,73.7%,22.3%,31.9%,35.0%,8.5%,28.6%,3.2%,66.7%,54,44
2025 Australian Open R128,W vs Wawrinka,3.3%,100.0%,11.9%,72.4%,30.1%,21.4%,29.4%,3.4%,11.1%,3.6%,80.0%,125,154
2024 Hong Kong R32,W vs Nakashima,10.7%,83.3%,15.4%,94.4%,18.0%,4.0%,25.0%,15.8%,37.5%,1.6%,0.0%,111,15
2024 Vienna R32,L vs Musetti,11.1%,83.3%,11.1%,63.6%,14.3%,23.1%,0.0%,10.5%,0.0%,3.4%,25.0%,17,-44
2024 Winston Salem F,W vs Michelsen,2.8%,100.0%,15.5%,84.6%,27.8%,30.0%,50.0%,11.8%,50.0%,2.9%,100.0%,69,109
2024 Winston Salem SF,W vs Goffin,0.0%,-,12.9%,84.6%,26.2%,14.8%,33.3%,0.0%,0.0%,3.8%,0.0%,17,-29
2024 Canada R32,L vs Tabilo,5.6%,66.7%,13.0%,57.1%,14.3%,21.1%,0.0%,0.0%,0.0%,3.3%,50.0%,23,19
2024 Halle R16,L vs Zverev,12.9%,55.6%,17.3%,52.2%,16.7%,10.5%,20.0%,7.1%,0.0%,5.8%,37.5%,22,-28
2024 Roland Garros R128,W vs Humbert,7.3%,85.7%,7.8%,88.2%,20.6%,28.6%,10.0%,7.1%,33.3%,4.8%,7.1%,3,-24
2024 Madrid R64,L vs Sinner,7.0%,66.7%,9.3%,62.5%,17.4%,14.3%,28.6%,4.3%,0.0%,6.7%,22.2%,66,31
2024 Bucharest R32,L vs Fonseca,0.0%,-,5.4%,50.0%,14.0%,21.7%,0.0%,2.9%,0.0%,2.1%,100.0%,-108,-76
2024 Dubai R16,L vs Medvedev,18.9%,57.1%,15.7%,48.0%,16.8%,20.0%,4.5%,0.0%,0.0%,1.1%,0.0%,15,-3
2024 Rotterdam R32,L vs Dimitrov,6.9%,100.0%,11.3%,71.4%,14.3%,18.8%,5.3%,0.0%,0.0%,2.1%,66.7%,2,-47
Career (57 matches),,5.4%,70.6%,12.7%,69.5%,16.0%,22.1%,12.3%,6.0%,16.7%,3.3%,35.9%,1,2
