Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Metz R32,W vs Choinski,77.7%,46.6%,2.1%,1/1,2.08,11.3%,74.6%,34.0%,1.6%,2.03,19.4%,89.7%,69.2%,3.4%,2.16,0.0%
2025 Wimbledon R32,W vs Nakashima,69.3%,43.5%,4.0%,4/4,2.46,4.1%,63.4%,42.4%,2.8%,2.39,5.4%,86.8%,45.7%,7.5%,2.68,0.0%
2025 Roland Garros R128,L vs Shelton,67.1%,45.7%,3.6%,3/2,2.42,7.4%,61.8%,49.2%,1.0%,2.47,11.1%,96.9%,38.7%,12.5%,2.33,0.0%
2025 Indian Wells R128,L vs Goffin,75.0%,62.2%,13.3%,6/2,2.27,1.8%,75.0%,52.4%,17.9%,2.07,2.8%,77.4%,70.8%,9.7%,2.60,0.0%
2025 Marseille QF,L vs Humbert,66.7%,35.7%,11.1%,5/2,2.39,0.0%,50.0%,29.4%,14.7%,2.45,0.0%,92.6%,40.0%,7.4%,2.33,0.0%
2025 Rotterdam R32,L vs Rune,66.7%,45.8%,6.9%,4/1,2.17,17.6%,65.9%,33.3%,4.9%,2.16,31.4%,67.7%,61.9%,9.7%,2.19,3.0%
2025 Australian Open QF,L vs Shelton,68.8%,39.2%,2.8%,1/3,2.06,21.7%,68.3%,37.7%,3.0%,2.09,33.3%,77.8%,42.9%,2.8%,2.02,0.0%
2025 Australian Open R64,W vs Fonseca,69.9%,48.0%,6.2%,5/4,2.09,8.5%,68.5%,42.6%,4.5%,2.02,9.7%,80.4%,56.1%,9.8%,2.23,6.3%
2025 Australian Open R128,W vs Wawrinka,60.7%,41.2%,1.8%,2/0,2.24,2.6%,61.4%,42.9%,1.8%,2.17,0.0%,63.5%,39.4%,1.9%,2.33,5.7%
2024 Hong Kong R32,W vs Nakashima,55.4%,41.9%,3.6%,0/2,2.04,34.2%,41.0%,37.5%,0.0%,1.89,50.0%,88.2%,46.7%,11.8%,2.19,16.7%
2024 Vienna R32,L vs Musetti,74.4%,21.9%,18.6%,3/5,2.56,43.2%,74.3%,23.1%,14.3%,2.56,65.2%,75.0%,16.7%,37.5%,2.57,7.1%
2024 Winston Salem F,W vs Michelsen,76.7%,63.6%,0.0%,0/0,2.09,36.4%,77.8%,71.4%,0.0%,1.88,50.0%,80.0%,50.0%,0.0%,2.67,0.0%
2024 Winston Salem SF,W vs Goffin,76.0%,50.0%,2.0%,0/1,-,13.5%,68.2%,33.3%,0.0%,-,22.7%,92.0%,60.9%,4.0%,-,0.0%
2024 Canada R32,L vs Tabilo,64.0%,37.5%,0.0%,0/0,-,22.2%,63.6%,28.6%,0.0%,-,42.1%,68.8%,54.5%,0.0%,-,0.0%
2024 Halle R16,L vs Zverev,64.3%,19.4%,1.8%,0/1,-,12.0%,57.8%,23.1%,0.0%,-,19.2%,100.0%,10.0%,10.0%,-,4.2%
2024 Roland Garros R128,W vs Humbert,72.2%,44.6%,4.3%,2/3,-,12.7%,66.7%,38.1%,4.8%,-,19.0%,89.1%,51.2%,4.3%,-,0.0%
2024 Madrid R64,L vs Sinner,78.6%,27.3%,7.1%,2/1,2.03,0.0%,72.4%,19.0%,3.4%,1.86,0.0%,92.3%,41.7%,15.4%,2.27,0.0%
2024 Bucharest R32,L vs Fonseca,81.8%,38.1%,2.6%,1/1,-,17.6%,81.5%,36.4%,1.9%,-,24.3%,90.5%,42.1%,4.8%,-,0.0%
2024 Dubai R16,L vs Medvedev,77.3%,34.5%,2.7%,2/0,2.43,8.6%,86.7%,33.3%,4.4%,2.63,13.9%,70.4%,36.8%,0.0%,2.17,0.0%
2024 Rotterdam R32,L vs Dimitrov,50.0%,35.5%,3.2%,0/2,2.44,73.0%,35.9%,0.0%,0.0%,2.45,80.0%,85.0%,64.7%,10.0%,2.42,58.3%
Career (57 matches),,69.2%,42.8%,4.0%,60.3%,2.24,15.5%,65.5%,39.4%,3.5%,2.19,22.5%,83.2%,47.9%,5.5%,2.32,4.3%
