Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 US Open R128,L vs Paul,107.9,115.5,8.7,121.7,111.3,129,82,94.1,5.8,96.0,90.4,105,82
2023 US Open R64,L vs Sinner,109.2,118.2,8.7,121.3,110.4,130,97,92.6,6.0,95.0,93.3,104,77
2023 US Open R128,W vs Moreno De Alboran,106.3,116.6,8.6,121.5,114.2,128,96,92.4,7.1,98.0,90.3,105,74
2023 Wimbledon R128,L vs Berrettini,111.1,117.3,8.2,122.0,109.9,135,95,92.9,6.1,96.7,88.5,104,80
2022 US Open R128,L vs Thompson,111.1,118.7,9.5,124.5,107.7,133,89,95.3,5.7,98.0,97.0,107,81
2022 Wimbledon R32,L vs Nadal,113.0,119.3,8.3,123.7,111.2,132,99,100.6,5.4,95.0,94.0,111,85
2021 US Open R128,L vs Otte,111.6,118.7,10.1,122.9,106.5,132,90,96.3,5.8,103.0,94.0,113,85
2021 Wimbledon R16,L vs Federer,111.6,121.4,6.6,124.8,114.0,132,106,94.8,5.0,98.3,94.8,103,82
2019 Roland Garros R128,L vs Federer,110.9,119.3,9.7,,,131,86,96.0,5.1,,,106,85
Career (9 matches),,110.4,118.4,8.8,122.9,110.3,135,82,94.9,5.8,97.4,92.4,113,74
