Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-10-14),1070,14,,,,,,,,,1081,27,,
2023,972,19,,,,,,,,,,,,
2022,633,48,,,,,,,,,,,,
2021,552,80,,,,,,,,,,,,
2020,994,14,,,,,,,,,625,77,,
2019,1002,12,,,,,,,,,599,74,,
2018,683,15,,,,,,,,,561,51,,
2017,,,,,,,,,,,941,19,,
2016,823,17,,,,,,,,,378,135,,
2015,614,36,,,,,,,,,362,139,,
2014,487,55,,,,,,,,,460,85,,
2013,653,41,,,,,,,,,413,129,,
2012,732,26,,,,,,,,,905,20,,
2011,844,18,,,,,,,,,1090,13,,
