Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2011,,,,,,,,,,,1166,8,,
2010,983,9,,,,,,,,,775,27,,
2009,920,11,,,,,,,,,,,,
2008,843,10,,,,,,,,,,,,
2007,604,21,,,,,,,,,,,,
2006,507,30,,,,,,,,,,,,
2005,334,78,,,,,,,,,,,,
2004,413,46,,,,,,,,,,,,
2003,228,117,205,1339,205,1300,199,1312,,,,,,
2002,213,140,213,1348,214,1268,207,1341,185,1332,,,,
2001,209,125,193,1452,187,1417,190,1389,180,1364,,,,
2000,244,82,,,,,,,,,,,,
1999,256,77,,,,,,,,,,,,
1998,190,114,163,1490,161,1440,150,1421,151,1412,,,,
1997,168,119,,,,,,,,,,,,
1996,232,73,,,,,,,,,,,,
1995,273,4,,,,,,,,,,,,
1994,264,3,,,,,,,,,,,,
1993,313,3,,,,,,,,,,,,
1992,411,1,,,,,,,,,,,,
1991,553,,373,1397,380,1326,338,1381,,,,,,
1990,477,,394,1272,,,359,1253,,,,,,
