Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 Stuttgart R32,L vs Andreeva,0.0%,-,4.7%,0.0%,7.7%,0.0%,0.0%,11.5%,50.0%,1.5%,0.0%,57,55
2024 Auckland R32,L vs Volynets,0.0%,-,14.6%,63.6%,9.8%,16.0%,50.0%,9.7%,19.0%,1.9%,30.0%,15,2
2024 Wuhan R16,L vs Paolini,0.0%,-,1.1%,0.0%,13.2%,11.8%,0.0%,0.0%,0.0%,2.7%,25.0%,8,4
2024 Wuhan R32,W vs Andreeva,0.0%,-,6.6%,87.5%,10.7%,22.7%,33.3%,6.2%,21.7%,1.6%,25.0%,-78,-58
2024 US Open R64,L vs Zheng,0.0%,-,4.1%,71.4%,15.1%,24.0%,0.0%,10.8%,7.1%,4.1%,25.0%,103,58
2024 Monterrey QF,L vs Sun,0.0%,-,1.9%,100.0%,17.3%,19.0%,33.3%,7.9%,25.0%,3.1%,50.0%,123,104
2024 Roland Garros R128,L vs Sabalenka,0.0%,-,5.6%,60.0%,6.5%,0.0%,0.0%,5.0%,40.0%,3.0%,25.0%,-63,-28
2023 Palermo R16,L vs Osorio,0.0%,-,11.3%,72.7%,9.5%,8.9%,0.0%,4.1%,13.6%,3.2%,25.0%,-73,-66
2023 Roland Garros R128,L vs Navarro,0.0%,-,17.6%,62.1%,6.8%,5.6%,0.0%,3.6%,10.3%,6.2%,30.4%,-58,-38
2023 Miami R128,W vs Krueger,0.0%,-,8.7%,63.6%,12.9%,26.1%,0.0%,12.2%,30.0%,1.3%,33.3%,-53,-42
Last 52 Weeks (1 matches),,0.0%,-,4.7%,0.0%,7.7%,0.0%,0.0%,11.5%,50.0%,1.5%,0.0%,57,55
Career (10 matches),,0.0%,-,9.0%,65.8%,10.7%,14.1%,25.0%,6.7%,17.3%,3.0%,28.6%,-19,-14
