Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Stuttgart R32,L vs Andreeva,75.0%,27.8%,0.0%,0/0,1.98,15.4%,75.0%,8.3%,0.0%,2.10,28.6%,85.7%,66.7%,0.0%,1.83,0.0%
2024 Auckland R32,L vs Volynets,83.2%,43.8%,5.6%,3/3,2.58,6.5%,85.6%,42.9%,3.3%,2.54,9.1%,70.6%,50.0%,17.6%,2.64,2.6%
2024 Wuhan R16,L vs Paolini,72.3%,26.5%,0.0%,0/0,2.73,6.3%,82.1%,21.7%,0.0%,2.55,11.1%,73.3%,36.4%,0.0%,2.97,0.0%
2024 Wuhan R32,W vs Andreeva,85.5%,59.6%,7.3%,2/2,2.86,6.1%,84.8%,64.3%,6.1%,3.08,12.0%,95.0%,52.6%,10.0%,2.63,0.0%
2024 US Open R64,L vs Zheng,50.6%,50.0%,15.2%,7/5,2.68,4.5%,42.2%,42.1%,17.8%,2.78,8.1%,72.4%,57.1%,13.8%,2.55,0.0%
2024 Monterrey QF,L vs Sun,56.3%,37.0%,2.1%,1/0,2.69,2.6%,51.5%,35.3%,0.0%,2.91,4.5%,66.7%,40.0%,6.7%,2.39,0.0%
2024 Roland Garros R128,L vs Sabalenka,82.0%,39.0%,6.0%,3/0,2.84,0.0%,81.3%,34.6%,3.1%,2.89,0.0%,88.2%,46.7%,11.8%,2.76,0.0%
2023 Palermo R16,L vs Osorio,85.9%,49.4%,2.2%,2/0,2.32,4.8%,85.9%,45.5%,1.6%,2.34,8.7%,96.0%,58.3%,4.0%,2.30,0.0%
2023 Roland Garros R128,L vs Navarro,88.5%,42.0%,2.6%,1/1,2.55,1.6%,88.6%,38.5%,2.3%,2.38,2.3%,90.9%,46.7%,3.0%,2.92,0.0%
2023 Miami R128,W vs Krueger,72.2%,63.5%,6.9%,3/2,2.43,12.8%,68.2%,73.3%,4.5%,2.34,18.5%,88.0%,50.0%,12.0%,2.63,0.0%
Last 52 Weeks (1 matches),,75.0%,27.8%,0.0%,0.0%,1.98,15.4%,75.0%,8.3%,0.0%,2.10,28.6%,85.7%,66.7%,0.0%,1.83,0.0%
Career (10 matches),,76.1%,46.0%,5.4%,62.9%,2.58,5.3%,76.0%,43.6%,4.2%,2.58,8.7%,83.7%,50.6%,8.4%,2.57,0.5%
