Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
1999,11,3,8,27.3%,9-18,33.3%,89-136,39.6%,0-0,-,0,,,,,,,,,,,,
1998,18,8,10,44.4%,19-21,47.5%,168-177,48.7%,3-1,75.0%,0,,,,,,,,,,,,R16 (Birmingham)
1997,24,9,15,37.5%,21-28,42.9%,209-228,47.8%,0-6,0.0%,0,,,,,,,,,,,,R16 (Kremlin Cup)
1996,28,12,16,42.9%,28-33,45.9%,253-280,47.5%,0-3,0.0%,0,,,,,,,,,,,,QF (2x)
1995,34,12,22,35.3%,27-45,37.5%,289-342,45.8%,2-4,33.3%,0,,,,,,,,,,,,QF (Hilton Head)
1994,40,20,20,50.0%,40-44,47.6%,380-389,49.4%,6-4,60.0%,0,,,,,,,,,,,,F (Schenectady)
1993,42,24,18,57.1%,51-39,56.7%,395-385,50.6%,3-6,33.3%,0,,,,,,,,,,,,W (Schenectady)
1992,41,21,20,51.2%,42-41,50.6%,355-355,50.0%,5-6,45.5%,0,,,,,,,,,,,,SF (Auckland)
1991,40,24,16,60.0%,51-38,57.3%,412-387,51.6%,3-2,60.0%,0,,,,,,,,,,,,W (2x)
1990,32,14,18,43.8%,31-37,45.6%,305-327,48.3%,2-5,28.6%,0,,,,,,,,,,,,QF (2x)
1989,42,25,17,59.5%,58-38,60.4%,448-408,52.3%,4-1,80.0%,0,,,,,,,,,,,,F (2x)
1988,50,31,19,62.0%,62-47,56.9%,517-468,52.5%,13-7,65.0%,0,,,,,,,,,,,,F (Oakland)
1987,39,25,14,64.1%,50-28,64.1%,377-321,54.0%,2-5,28.6%,0,,,,,,,,,,,,F (2x)
1986,40,22,18,55.0%,44-40,52.4%,375-380,49.7%,4-4,50.0%,0,,,,,,,,,,,,SF (2x)
1985,38,19,19,50.0%,42-42,50.0%,375-377,49.9%,4-5,44.4%,0,,,,,,,,,,,,SF (Denver)
1984,6,2,4,33.3%,6-9,40.0%,55-68,44.7%,0-0,-,0,,,,,,,,,,,,R32 (Roland Garros)
1983,4,2,2,50.0%,5-4,55.6%,43-34,55.8%,0-0,-,0,,,,,,,,,,,,
Career,529,273,256,51.6%,586-552,51.5%,5045-5062,49.9%,51-59,46.4%,0,,,,,,,,,,,,
