Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),194,304,178,1599,163,1573,191,1517,117,1550,,,,
2025,155,399,195,1574,161,1561,202,1505,129,1537,,,,
2024,148,391,184,1574,159,1550,183,1524,124,1540,796,50,,
2023,237,265,146,1616,131,1580,134,1582,103,1567,,,,
2022,305,166,137,1641,114,1620,136,1585,79,1601,,,,
2021,110,713,108,1681,100,1641,100,1646,81,1605,,,,
2020,83,812,64,1747,65,1695,64,1699,,,24,3690,,
2019,65,865,71,1752,75,1698,57,1715,55,1664,5,5290,4,1892
2018,55,903,56,1768,54,1724,72,1672,59,1650,12,4440,2,1927
2017,81,652,103,1692,96,1658,110,1604,78,1609,13,4685,1,1958
2016,78,698,55,1787,54,1736,125,1589,42,1712,2,7935,5,1896
2015,167,313,70,1751,61,1718,198,1477,51,1679,14,5005,11,1856
2014,111,511,102,1684,83,1673,236,1425,69,1627,63,1158,,
2013,151,344,203,1537,165,1535,295,1360,181,1447,151,470,,
2012,257,185,282,1436,252,1413,332,1289,213,1410,139,496,,
2011,361,115,,,,,,,,,135,595,,
2010,498,63,,,,,,,,,290,213,,
