Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,1,28.6%,12.5%,7.8%,7.8%,68.6%,54.3%,12.5%,41.2%,33.3%,37.4%,0.57,R32 (Doha)
2025,11,4,7,36.4%,10-19,34.5%,141-158,47.2%,0-4,0.0%,11,77.5%,18.4%,9.4%,10.3%,55.1%,74.8%,45.0%,61.4%,33.2%,48.1%,0.86,R16 (3x)
2024,4,1,3,25.0%,3-8,27.3%,51-63,44.7%,1-2,33.3%,4,80.0%,10.7%,14.1%,5.6%,66.5%,75.0%,41.2%,63.7%,31.1%,47.5%,0.86,R16 (Metz)
2023,4,3,1,75.0%,6-3,66.7%,51-45,53.1%,1-0,100.0%,4,89.6%,14.9%,15.5%,3.0%,70.1%,76.1%,47.3%,67.4%,35.8%,50.9%,1.10,SF (Metz)
2022,5,2,3,40.0%,5-6,45.5%,52-60,46.4%,2-0,100.0%,5,74.5%,16.4%,7.6%,4.7%,59.5%,72.9%,48.6%,63.0%,34.7%,49.0%,0.94,R16 (2x)
2021,23,9,14,39.1%,30-34,46.9%,329-329,50.0%,5-9,35.7%,23,79.7%,19.9%,9.9%,6.1%,55.5%,73.3%,51.7%,63.7%,36.0%,50.2%,0.99,F (Marseille)
2020,20,10,10,50.0%,29-26,52.7%,275-269,50.6%,4-4,50.0%,20,77.7%,23.2%,8.6%,4.6%,56.7%,72.7%,48.3%,62.2%,37.5%,50.0%,0.99,QF (2x)
2019,43,20,23,46.5%,48-58,45.3%,519-552,48.5%,8-7,53.3%,43,78.8%,17.8%,8.2%,4.1%,60.3%,71.8%,50.0%,63.2%,34.6%,49.3%,0.94,F (Montpellier)
2018,48,26,22,54.2%,65-61,51.6%,654-656,49.9%,17-17,50.0%,48,83.3%,16.3%,9.2%,4.3%,62.4%,73.2%,51.1%,64.9%,33.8%,49.8%,0.96,F (Shenzhen)
2017,30,10,20,33.3%,30-47,39.0%,354-427,45.3%,9-8,52.9%,30,79.9%,10.9%,11.6%,5.1%,60.2%,74.0%,49.5%,64.3%,31.6%,47.9%,0.89,SF (Rotterdam)
2016,19,7,12,36.8%,24-29,45.3%,265-279,48.7%,7-9,43.8%,19,82.3%,14.9%,11.1%,5.3%,56.2%,75.8%,50.6%,64.8%,32.3%,48.9%,0.92,R16 (Metz)
2015,13,7,6,53.8%,17-18,48.6%,175-172,50.4%,2-3,40.0%,13,83.7%,16.9%,15.1%,5.4%,54.7%,77.0%,51.8%,65.6%,32.9%,49.5%,0.95,F (Winston-Salem)
2014,15,5,10,33.3%,12-24,33.3%,179-207,46.4%,5-9,35.7%,15,84.4%,9.1%,14.2%,4.8%,52.5%,78.4%,54.2%,66.9%,29.7%,48.6%,0.90,R16 (5x)
2013,4,1,3,25.0%,3-6,33.3%,46-48,48.9%,0-3,0.0%,4,80.0%,21.7%,9.7%,5.5%,60.9%,72.2%,50.4%,63.7%,34.0%,48.8%,0.94,R16 (Brisbane)
Career,240,105,135,43.8%,282-341,45.3%,3094-3277,48.6%,61-75,44.9%,240,80.7%,16.4%,10.3%,5.1%,58.8%,73.8%,50.1%,64.1%,33.8%,49.2%,0.94,
